eps,min_samples,n_clusters,noise_ratio,silhouette
2.905258219346325,3.0,2.0,0.030382595648912228,0.27677611073907
2.91191761670102,3.0,2.0,0.030007501875468866,0.27670741960358486
2.9981376780348143,3.0,2.0,0.02288072018004501,0.27478086548433733
2.469054558381612,3.0,2.0,0.09602400600150038,0.11217816742198668
2.469469486444376,3.0,2.0,0.09564891222805702,0.11205115298615104
2.2341357607486296,3.0,5.0,0.19092273068267065,0.0001243609616684234
2.345485318365449,3.0,5.0,0.13353338334583645,-0.006720826029072893
1.9797391415429828,5.0,8.0,0.4463615903975994,-0.025735560919164374
2.1564854020665836,3.0,7.0,0.23968492123030757,-0.08091929486720367
2.0336807535424275,3.0,12.0,0.3210802700675169,-0.13946228595958152
1.8398765088518125,3.0,37.0,0.49174793698424607,-0.18647744729721683
1.9315761445362523,3.0,18.0,0.4032258064516129,-0.19186112102698213
2.5858732378063385,3.0,1.0,0.06639159789947487,
2.6185894167951376,3.0,1.0,0.05738934733683421,
2.6283950126454467,3.0,1.0,0.05701425356339085,
2.7593944921946463,3.0,1.0,0.04051012753188297,
3.080693431523691,3.0,1.0,0.01837959489872468,
3.1399889316219824,3.0,1.0,0.015753938484621154,
3.154074015174536,3.0,1.0,0.015003750937734433,
3.3112733906335756,3.0,1.0,0.010502625656414103,
3.48630986321559,3.0,1.0,0.005626406601650412,
3.527220797688017,3.0,1.0,0.004876219054763691,
3.535899963136953,3.0,1.0,0.004876219054763691,
3.6941046254376264,3.0,1.0,0.002625656414103526,
3.6968321178284294,3.0,1.0,0.002250562640660165,
3.94259251896817,3.0,1.0,0.0015003750937734434,
4.139091738291969,3.0,1.0,0.0007501875468867217,
4.159882309572886,3.0,1.0,0.0007501875468867217,
4.23266495722562,3.0,1.0,0.0007501875468867217,
4.357887329019487,3.0,1.0,0.00037509377344336085,
4.432925550525152,3.0,1.0,0.00037509377344336085,
4.6210401472855365,3.0,1.0,0.00037509377344336085,
4.991858771487463,3.0,1.0,0.00037509377344336085,
5.2567900252908935,3.0,1.0,0.0,
5.290831196532026,3.0,1.0,0.0,
5.5187889843892926,3.0,1.0,0.0,
5.54115693815644,3.0,1.0,0.0,
5.81051643869265,3.0,1.0,0.0,
6.161386863047382,3.0,1.0,0.0,
6.239823464359329,3.0,1.0,0.0,
7.054441595376034,3.0,1.0,0.0,
7.388209250875253,3.0,1.0,0.0,
8.319764619145772,3.0,1.0,0.0,
2.096478847724652,5.0,1.0,0.3293323330832708,
2.1868759135198044,5.0,1.0,0.2614403600900225,
2.2977679925179073,5.0,1.0,0.1867966991747937,
2.403968957587908,5.0,1.0,0.13465866466616655,
2.5457243150942204,5.0,1.0,0.08627156789197299,
2.6433078324547266,5.0,1.0,0.06264066016504126,
2.6554921807026197,5.0,1.0,0.06001500375093773,
2.790146848057459,5.0,1.0,0.04276069017254314,
2.8001067724835256,5.0,1.0,0.041635408852213056,
2.828198773632833,5.0,1.0,0.038634658664666165,
2.9949697824637886,5.0,1.0,0.02663165791447862,
3.1127926049851102,5.0,1.0,0.017629407351837958,
3.124108447885435,5.0,1.0,0.01687921980495124,
3.209730939409311,5.0,1.0,0.014628657164291074,
3.2825257035970106,5.0,1.0,0.011627906976744186,
3.3938385283593995,5.0,1.0,0.008252063015753939,
3.400129652301424,5.0,1.0,0.007876969242310577,
3.593963738956546,5.0,1.0,0.0037509377344336083,
3.748930137462522,5.0,1.0,0.002250562640660165,
3.7761540463638954,5.0,1.0,0.0018754688672168042,
3.7798195917676343,5.0,1.0,0.0018754688672168042,
3.9390308443164126,5.0,1.0,0.0015003750937734434,
4.000152532119323,5.0,1.0,0.0015003750937734434,
4.242298160449249,5.0,1.0,0.0011252813203300824,
4.446846578550158,5.0,1.0,0.00037509377344336085,
4.492454673695683,5.0,1.0,0.00037509377344336085,
4.5313848556366745,5.0,1.0,0.00037509377344336085,
4.686162671828153,5.0,1.0,0.00037509377344336085,
4.800183038543187,5.0,1.0,0.00037509377344336085,
4.923788555395516,5.0,1.0,0.00037509377344336085,
5.33621589426019,5.0,1.0,0.0,
5.656397547265666,5.0,1.0,0.0,
5.664231069545843,5.0,1.0,0.0,
5.989939564927577,5.0,1.0,0.0,
6.000228798178984,5.0,1.0,0.0,
6.24821689577087,5.0,1.0,0.0,
6.565051407194021,5.0,1.0,0.0,
6.670269867825237,5.0,1.0,0.0,
7.552308092727791,5.0,1.0,0.0,
8.000305064238646,5.0,1.0,0.0,
8.893693157100316,5.0,1.0,0.0,
2.1766018359255197,10.0,1.0,0.37021755438859716,
2.2719930125325827,10.0,1.0,0.28094523630907725,
2.366411291918711,10.0,1.0,0.2040510127531883,
2.5348792942355,10.0,1.0,0.11702925731432859,
2.6430165150524165,10.0,1.0,0.07914478619654913,
2.758848658075279,10.0,1.0,0.0555138784696174,
2.809682749683035,10.0,1.0,0.047261815453863466,
2.873499425901292,10.0,1.0,0.04088522130532633,
2.9676835190633564,10.0,1.0,0.03338334583645911,
3.0780677144288213,10.0,1.0,0.024006001500375095,
3.109431194179314,10.0,1.0,0.02138034508627157,
3.2457043036179756,10.0,1.0,0.015378844711177795,
3.3651553437276434,10.0,1.0,0.009752438109527382,
3.380587559883873,10.0,1.0,0.009377344336084021,
3.4117576246151144,10.0,1.0,0.00900225056264066,
3.6036157017197903,10.0,1.0,0.004126031507876969,
3.621256134622143,10.0,1.0,0.0037509377344336083,
3.7313174330151764,10.0,1.0,0.002250562640660165,
3.8948451643415707,10.0,1.0,0.0015003750937734434,
4.013832499547194,10.0,1.0,0.0015003750937734434,
4.056705071860647,10.0,1.0,0.0011252813203300824,
4.08626006024071,10.0,1.0,0.0011252813203300824,
4.239547884376224,10.0,1.0,0.0011252813203300824,
4.345507361546572,10.0,1.0,0.00037509377344336085,
4.664146791268971,10.0,1.0,0.00037509377344336085,
4.807364776753777,10.0,1.0,0.00037509377344336085,
4.816598999456632,10.0,1.0,0.00037509377344336085,
4.868556455426964,10.0,1.0,0.00037509377344336085,
5.070881339825809,10.0,1.0,0.0,
5.087457461251469,10.0,1.0,0.0,
5.431884201933214,10.0,1.0,0.0,
5.768837732104532,10.0,1.0,0.0,
6.0207487493207905,10.0,1.0,0.0,
6.218862388358628,10.0,1.0,0.0,
6.359321826564336,10.0,1.0,0.0,
6.491408607235951,10.0,1.0,0.0,
6.761175119767746,10.0,1.0,0.0,
7.211047165130665,10.0,1.0,0.0,
7.242512269244286,10.0,1.0,0.0,
8.027664999094387,10.0,1.0,0.0,
8.479095768752448,10.0,1.0,0.0,
9.614729553507553,10.0,1.0,0.0,
