model,variant,split,accuracy,precision,recall,f1,roc_auc
logreg_pca,tuned,train,0.7693173293323331,0.36039360393603936,0.7551546391752577,0.48792672772689427,0.824974204176208
logreg_pca,tuned,test,0.775112443778111,0.36180904522613067,0.7578947368421053,0.4897959183673469,0.8308244387191756
knn_pca,tuned,train,0.9268567141785446,0.9177489177489178,0.5463917525773195,0.6849757673667205,0.9710617244281926
knn_pca,tuned,test,0.896551724137931,0.7954545454545454,0.3684210526315789,0.5035971223021583,0.7469911667280089
hgb_pca,tuned,train,1.0,1.0,1.0,1.0,1.0
hgb_pca,tuned,test,0.9130434782608695,0.7846153846153846,0.5368421052631579,0.6375,0.8834376150165624
xgb_pca,tuned,train,0.9861215303825956,0.9943661971830986,0.9097938144329897,0.9502018842530283,0.9982237086248563
xgb_pca,tuned,test,0.9130434782608695,0.8032786885245902,0.5157894736842106,0.6282051282051282,0.8884431358115569
