mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,param_clf__p,param_clf__weights,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0014075756072998047,4.997412664482338e-05,0.009936094284057617,0.0008471824363871692,3,1,uniform,2,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 2}",0.27350427350427353,0.25,0.08771929824561403,0.21428571428571427,0.12727272727272726,0.19055640266166582,0.07149442549934314,97,0.4767932489451477,0.46187363834422657,0.41379310344827586,0.5375,0.38738738738738737,0.45546947562500745,0.05214751053422922
0.0027041912078857424,0.001139492833334834,0.013657283782958985,0.005038051788601989,3,1,uniform,3,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 3}",0.16216216216216217,0.20952380952380953,0.10619469026548672,0.16666666666666666,0.2702702702702703,0.18296351977767908,0.05462536912024773,112,0.5043103448275862,0.43498817966903075,0.469601677148847,0.5802469135802469,0.5095541401273885,0.4997402510706198,0.04837289586667245
0.0026413440704345704,0.0013529584095019129,0.01395244598388672,0.004604575373646319,3,1,uniform,4,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 4}",0.1981981981981982,0.13559322033898305,0.16822429906542055,0.16822429906542055,0.09433962264150944,0.15291592786190636,0.03535657278022298,154,0.5031185031185031,0.4847161572052402,0.4749455337690632,0.5732217573221757,0.4946695095948827,0.5061342922019729,0.03485036401417611
0.002334785461425781,0.0009112508978160908,0.014329051971435547,0.002900309784070462,3,1,uniform,5,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 5}",0.2982456140350877,0.2956521739130435,0.08163265306122448,0.1941747572815534,0.2777777777777778,0.2294965952137374,0.08312092202990752,63,0.5548654244306418,0.5168067226890757,0.4935064935064935,0.5660377358490566,0.5648535564853556,0.5392139865921246,0.02902801741323544
0.003601741790771484,0.0010620721994708997,0.0205106258392334,0.005122355089141322,3,1,uniform,6,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 6}",0.23529411764705882,0.2545454545454545,0.11538461538461539,0.22018348623853212,0.2616822429906542,0.217417983361263,0.05305805529963775,78,0.5611814345991561,0.5319148936170213,0.4829059829059829,0.5438972162740899,0.5714285714285714,0.5382656197649643,0.03085985070464134
0.0018762111663818359,0.0008521548249242106,0.016062164306640626,0.0004327749354803554,3,1,uniform,8,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 8}",0.17142857142857143,0.27722772277227725,0.23636363636363636,0.2037037037037037,0.23076923076923078,0.22389857300748392,0.03523497060897184,70,0.49777777777777776,0.5887265135699373,0.588477366255144,0.5708154506437768,0.5524625267665952,0.5596519270026462,0.033707446092220775
0.0021934986114501955,0.000880852938368693,0.028801441192626953,0.004931016256790346,3,1,uniform,10,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 10}",0.4074074074074074,0.37383177570093457,0.3157894736842105,0.3853211009174312,0.36363636363636365,0.3691972242692695,0.030413114125726722,15,0.6068376068376068,0.6046511627906976,0.606694560669456,0.6597938144329897,0.656964656964657,0.6269883603390815,0.025657816523296042
0.0017394065856933595,0.0005807808975865989,0.028146934509277344,0.0033765350800414266,3,1,uniform,12,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 12}",0.2857142857142857,0.4528301886792453,0.4444444444444444,0.38181818181818183,0.42592592592592593,0.39814660531641666,0.061340229467949495,7,0.6935483870967742,0.6896551724137931,0.7016129032258065,0.7068273092369478,0.6921529175050302,0.6967593378956703,0.006433033878114067
0.0026300430297851564,0.0008316059506244797,0.03731203079223633,0.01104789804402024,3,1,uniform,15,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform', 'pca__n_components': 15}",0.3018867924528302,0.4672897196261682,0.4369747899159664,0.39285714285714285,0.43636363636363634,0.40707441624314883,0.05769634405009662,5,0.6975806451612904,0.6935483870967742,0.7028112449799196,0.718562874251497,0.6895161290322581,0.7004038561043477,0.010090153986989859
0.0029019832611083983,0.0026164770524999717,0.0025766372680664064,0.0007402188870762523,3,1,distance,2,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 2}",0.30158730158730157,0.23622047244094488,0.12698412698412698,0.21666666666666667,0.12121212121212122,0.20053413777823223,0.06847934182765673,86,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0016299724578857423,0.0007993600698426728,0.004317665100097656,0.0028636754400186313,3,1,distance,3,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 3}",0.17391304347826086,0.22608695652173913,0.13333333333333333,0.19130434782608696,0.2857142857142857,0.2020703933747412,0.05139381975332769,84,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.001829051971435547,0.001150571964439095,0.003039836883544922,0.0001780964763152835,3,1,distance,4,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 4}",0.2033898305084746,0.15384615384615385,0.14545454545454545,0.16363636363636364,0.10810810810810811,0.15488700031072913,0.030683530492681205,148,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.002078819274902344,0.0008571911739329245,0.005000400543212891,0.001836162055287015,3,1,distance,5,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 5}",0.2956521739130435,0.29310344827586204,0.08080808080808081,0.19230769230769232,0.26785714285714285,0.22594570763236427,0.08163598320281004,66,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0020590305328369142,0.001062058776259607,0.00817408561706543,0.002824137209395746,3,1,distance,6,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 6}",0.23076923076923078,0.26785714285714285,0.13333333333333333,0.21818181818181817,0.2545454545454545,0.22093739593739592,0.04713744631199242,75,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0014692306518554687,0.0003050150149796148,0.012177324295043946,0.0034992907398641677,3,1,distance,8,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 8}",0.16981132075471697,0.29411764705882354,0.23853211009174313,0.2037037037037037,0.23076923076923078,0.22738680247564363,0.041144840708505555,65,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0018317222595214844,0.0008111650591087139,0.018366050720214844,0.004497492155003615,3,1,distance,10,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 10}",0.4074074074074074,0.37037037037037035,0.3157894736842105,0.38181818181818183,0.36363636363636365,0.3678043593833068,0.02998097252344474,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.002386808395385742,0.001830574105445984,0.02395143508911133,0.003643648281478845,3,1,distance,12,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 12}",0.2857142857142857,0.4485981308411215,0.4444444444444444,0.38181818181818183,0.42592592592592593,0.39730019374879183,0.060604618357951855,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0019264698028564453,0.0008319329045560539,0.021752452850341795,0.005366751200748285,3,1,distance,15,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance', 'pca__n_components': 15}",0.3018867924528302,0.46296296296296297,0.4369747899159664,0.39285714285714285,0.43636363636363634,0.4062090649105078,0.05681239884397571,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0013267040252685548,0.0003694028750852503,0.01243276596069336,0.003108940919259717,3,2,uniform,2,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform', 'pca__n_components': 2}",0.2564102564102564,0.2564102564102564,0.1206896551724138,0.1651376146788991,0.125,0.18472955653436512,0.06054555069582493,108,0.4861407249466951,0.45714285714285713,0.4110854503464203,0.5285412262156448,0.3926940639269406,0.4551208645157116,0.0493823710250979
0.0020721912384033202,0.0011908351041907221,0.011575031280517577,0.0016947916728310927,3,2,uniform,3,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform', 'pca__n_components': 3}",0.19130434782608696,0.2222222222222222,0.07407407407407407,0.19469026548672566,0.25,0.1864581819218218,0.060063415560246615,104,0.4935064935064935,0.4195804195804196,0.44924406047516197,0.5795918367346938,0.4989339019189765,0.488171342443149,0.054262420293285624
0.0030899524688720705,0.0025917771249529347,0.013619565963745117,0.002429767581951034,3,2,uniform,4,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform', 'pca__n_components': 4}",0.2222222222222222,0.16393442622950818,0.12612612612612611,0.16822429906542055,0.16216216216216217,0.16853384716108782,0.030798393733242287,128,0.5169491525423728,0.4860215053763441,0.4935064935064935,0.5714285714285714,0.48034934497816595,0.5096510135663895,0.03330860686144016
0.0016397953033447266,0.0005807421342267878,0.014255952835083009,0.002649968468479337,3,2,uniform,5,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform', 'pca__n_components': 5}",0.2982456140350877,0.2831858407079646,0.16822429906542055,0.17142857142857143,0.2962962962962963,0.24347612430666815,0.060365911288836116,55,0.548936170212766,0.5175983436853002,0.5157232704402516,0.5431578947368421,0.5477707006369427,0.5346372759424205,0.014816281468707754
0.002117347717285156,0.001098482283902798,0.0160398006439209,0.0038776630095063683,3,2,uniform,6,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform', 'pca__n_components': 6}",0.2831858407079646,0.22857142857142856,0.16216216216216217,0.19469026548672566,0.23423423423423423,0.22056878623250303,0.04062687247613199,76,0.559322033898305,0.5470085470085471,0.48394004282655245,0.5527426160337553,0.551440329218107,0.5388907137970534,0.027757097614949544
0.0018149375915527343,0.0008894234361205436,0.021148490905761718,0.005413143835696537,3,2,uniform,8,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform', 'pca__n_components': 8}",0.16981132075471697,0.34285714285714286,0.2782608695652174,0.1834862385321101,0.23076923076923078,0.24103696049568363,0.06362950977543633,56,0.5249457700650759,0.6,0.5934959349593496,0.559652928416486,0.5714285714285714,0.5699046409738966,0.026799253103788518
0.002641916275024414,0.0011195936132162507,0.02844715118408203,0.007446278607251691,3,2,uniform,10,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform', 'pca__n_components': 10}",0.3508771929824561,0.4074074074074074,0.45528455284552843,0.32075471698113206,0.37168141592920356,0.3812010572291455,0.04655976261777573,11,0.6242038216560509,0.6231578947368421,0.6195426195426196,0.6503067484662577,0.6276150627615062,0.6289652294326553,0.01097693128452208
