mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.08049936294555664,0.012715779670049464,0.008405637741088868,0.0008933825764571152,0.1,3,100,5,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'pca__n_components': 5}",0.2549019607843137,0.1978021978021978,0.13953488372093023,0.21505376344086022,0.30303030303030304,0.222064621755721,0.054923050514767806,24,0.47754137115839246,0.41346153846153844,0.32171581769436997,0.48470588235294115,0.4834123222748815,0.4361673863884247,0.06311036884659625
0.11738333702087403,0.014367102258038389,0.00942244529724121,0.002228277808595488,0.1,3,100,10,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'pca__n_components': 10}",0.4230769230769231,0.36363636363636365,0.3157894736842105,0.2857142857142857,0.3157894736842105,0.3408013039591987,0.0481175234985957,16,0.6271929824561403,0.5655172413793104,0.5968819599109132,0.6694560669456067,0.6552462526766595,0.622858900673726,0.037952307126864884
0.22522192001342772,0.05338095019917823,0.011939907073974609,0.0033810479830398326,0.1,3,100,15,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100, 'pca__n_components': 15}",0.5,0.5454545454545454,0.4107142857142857,0.49586776859504134,0.5087719298245614,0.4921617059176867,0.0443280549914308,8,0.7766990291262136,0.7769230769230769,0.7644787644787645,0.8126159554730983,0.76953125,0.7800496152002306,0.016939041213018587
0.17123785018920898,0.06769719377600884,0.00971980094909668,0.0022954841614743894,0.1,3,200,5,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'pca__n_components': 5}",0.2857142857142857,0.2916666666666667,0.1797752808988764,0.28,0.33663366336633666,0.27475797932923307,0.05154364444616336,20,0.5739910313901345,0.5125858123569794,0.40816326530612246,0.5727069351230425,0.5720620842572062,0.5279018256866971,0.06427090205889363
0.2314289093017578,0.042222735936908395,0.01999354362487793,0.018847639518396478,0.1,3,200,10,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'pca__n_components': 10}",0.42201834862385323,0.42201834862385323,0.3333333333333333,0.34615384615384615,0.40384615384615385,0.38547400611620797,0.038139843965490104,15,0.751004016064257,0.7107438016528925,0.728744939271255,0.7495069033530573,0.78515625,0.7450311820682923,0.024926267525166277
0.369888162612915,0.12451963854771077,0.01580781936645508,0.006181036815524959,0.1,3,200,15,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'pca__n_components': 15}",0.5581395348837209,0.5132743362831859,0.5378151260504201,0.5483870967741935,0.5737704918032787,0.5462773171589598,0.020306863157275954,6,0.8690909090909091,0.8705035971223022,0.8545454545454545,0.9020979020979021,0.8861209964412812,0.8764717718595698,0.01625217352777101
0.2954972267150879,0.10572337116008486,0.014823818206787109,0.0046336440389384385,0.1,6,100,5,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'pca__n_components': 5}",0.3185840707964602,0.21739130434782608,0.2268041237113402,0.2692307692307692,0.2857142857142857,0.2635449107601363,0.03750509332807274,23,0.7907869481765835,0.7302231237322515,0.6932773109243697,0.6889352818371608,0.752,0.731044532934073,0.037969763176268434
0.5538380146026611,0.1270256041509403,0.018433523178100587,0.005517615109920764,0.1,6,100,10,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'pca__n_components': 10}",0.43478260869565216,0.4642857142857143,0.411214953271028,0.4778761061946903,0.45454545454545453,0.4485409673985079,0.023353907824912735,9,0.9236111111111112,0.9201388888888888,0.9312714776632303,0.9026548672566371,0.9527027027027027,0.9260758095245141,0.016284033341579164
0.7772775173187256,0.2665009332168378,0.02128596305847168,0.013930109663683209,0.1,6,100,15,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'pca__n_components': 15}",0.4881889763779528,0.5423728813559322,0.5528455284552846,0.5619834710743802,0.5565217391304348,0.5403825192787968,0.02687202856268274,7,0.9869281045751634,0.9819967266775778,0.9853181076672104,0.9700996677740864,0.9869281045751634,0.9822541422538403,0.006338410593745349
0.765838623046875,0.18675110042281806,0.02456355094909668,0.0136854722544229,0.1,6,200,5,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 200, 'pca__n_components': 5}",0.3247863247863248,0.2828282828282828,0.20202020202020202,0.3018867924528302,0.2857142857142857,0.2794471775603851,0.041484502278422195,18,0.9328743545611016,0.9049295774647887,0.901060070671378,0.9236111111111112,0.925476603119584,0.9175903433855928,0.012374074865761864
