mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate,param_clf__max_depth,param_clf__max_iter,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.1384188175201416,0.02306516894729485,0.013094758987426758,0.0018518978840218216,0.05,3.0,100,5,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_iter': 100, 'pca__n_components': 5}",0.24242424242424243,0.1797752808988764,0.0975609756097561,0.21739130434782608,0.2916666666666667,0.20576369398947353,0.06517935827958152,81,0.40298507462686567,0.30412371134020616,0.26519337016574585,0.4088669950738916,0.4089775561097257,0.358029341463287,0.061197287636447724
0.1621943473815918,0.01340425507856809,0.012148427963256835,0.0007646733994730671,0.05,3.0,100,10,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_iter': 100, 'pca__n_components': 10}",0.3434343434343434,0.2826086956521739,0.12195121951219512,0.25,0.24719101123595505,0.24903705396693349,0.07237823960572752,78,0.4768856447688564,0.42105263157894735,0.47342995169082125,0.588495575221239,0.5011933174224343,0.49221142413645963,0.054776836593237184
0.2072347640991211,0.013804501030657132,0.015130901336669922,0.0024398998394437525,0.05,3.0,100,15,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_iter': 100, 'pca__n_components': 15}",0.45161290322580644,0.49056603773584906,0.28,0.35185185185185186,0.48148148148148145,0.41110245485899777,0.08198445272806339,46,0.675,0.6497890295358649,0.6306695464362851,0.6912065439672802,0.6411889596602972,0.6575708159199455,0.022305776707581562
0.2306396484375,0.013385399286197381,0.020028305053710938,0.002379379283622355,0.05,3.0,200,5,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_iter': 200, 'pca__n_components': 5}",0.2524271844660194,0.2391304347826087,0.16091954022988506,0.23655913978494625,0.297029702970297,0.23721320044675126,0.043896025915844475,80,0.4835680751173709,0.3980815347721823,0.32717678100263853,0.4930232558139535,0.47417840375586856,0.4352056100924028,0.0636382144766743
0.32360615730285647,0.034207068564452554,0.024459695816040038,0.005224133391341852,0.05,3.0,200,10,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_iter': 200, 'pca__n_components': 10}",0.39622641509433965,0.3434343434343434,0.2857142857142857,0.3300970873786408,0.3673469387755102,0.34456381407942394,0.0370457122720464,52,0.6420824295010846,0.5656108597285068,0.5797752808988764,0.6638830897703549,0.6847599164926931,0.6272223152783031,0.046738856342329105
0.39111981391906736,0.0505163441802491,0.020984125137329102,0.0015641852506989677,0.05,3.0,200,15,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_iter': 200, 'pca__n_components': 15}",0.5116279069767442,0.543859649122807,0.45871559633027525,0.46551724137931033,0.5263157894736842,0.5012072366565642,0.033578485207619475,25,0.7869481765834933,0.7754318618042226,0.769825918762089,0.8007518796992481,0.7852998065764023,0.783651528685091,0.0106274844206507
0.38986711502075194,0.07139527026389011,0.029060173034667968,0.003393400077730454,0.05,3.0,300,5,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_iter': 300, 'pca__n_components': 5}",0.2641509433962264,0.25806451612903225,0.1590909090909091,0.30303030303030304,0.27722772277227725,0.2523128788837496,0.04910511849595979,77,0.5548098434004475,0.4583333333333333,0.37659033078880405,0.5372460496613995,0.5393258426966292,0.49326107997612273,0.06734523205580019
0.468698787689209,0.04902001623109851,0.02906317710876465,0.003052538516349988,0.05,3.0,300,10,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_iter': 300, 'pca__n_components': 10}",0.42201834862385323,0.4230769230769231,0.3157894736842105,0.3853211009174312,0.38,0.3852411692604836,0.03907715304750285,51,0.7213114754098361,0.648068669527897,0.6680761099365751,0.7122736418511066,0.7327935222672065,0.6965046837985243,0.0326654191332852
0.5502079963684082,0.10174739058567496,0.029967689514160158,0.0037911326217057776,0.05,3.0,300,15,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__max_iter': 300, 'pca__n_components': 15}",0.47244094488188976,0.5470085470085471,0.5172413793103449,0.56,0.5546218487394958,0.5302625439880556,0.03246847297904969,21,0.8450184501845018,0.8274582560296846,0.8280961182994455,0.8586956521739131,0.8613138686131386,0.8441164690601367,0.01444482191972492
0.2524879932403564,0.037011259819587645,0.016915035247802735,0.0025505399910399997,0.05,5.0,100,5,"{'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__max_iter': 100, 'pca__n_components': 5}",0.24761904761904763,0.2553191489361702,0.17777777777777778,0.2653061224489796,0.28865979381443296,0.24693637811928165,0.0372342310499871,79,0.5342465753424658,0.44549763033175355,0.35602094240837695,0.5339366515837104,0.5162790697674419,0.47719617388674973,0.06883304039965676
0.3255900859832764,0.03103641754572236,0.017551136016845704,0.0025618101526481405,0.05,5.0,100,10,"{'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__max_iter': 100, 'pca__n_components': 10}",0.43636363636363634,0.39603960396039606,0.3838383838383838,0.35294117647058826,0.4158415841584158,0.39700487695828407,0.028354299405127605,49,0.7104722792607803,0.6638115631691649,0.6834381551362684,0.7429718875502008,0.7529880478087649,0.7107363865850358,0.03397508688483312
0.4123906135559082,0.041677975589020276,0.01737055778503418,0.002436259573479931,0.05,5.0,100,15,"{'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__max_iter': 100, 'pca__n_components': 15}",0.515625,0.5470085470085471,0.46956521739130436,0.49572649572649574,0.5263157894736842,0.5108482099200062,0.026467283318654587,24,0.8788426763110307,0.8633879781420765,0.8597449908925319,0.8725314183123878,0.8817204301075269,0.8712454987531106,0.008521703985040666
0.4462230682373047,0.048200069707158545,0.02483649253845215,0.001975247019869743,0.05,5.0,200,5,"{'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__max_iter': 200, 'pca__n_components': 5}",0.30357142857142855,0.32323232323232326,0.17582417582417584,0.2912621359223301,0.29411764705882354,0.27760154212181626,0.05210494990443366,66,0.6469344608879493,0.5626373626373626,0.5118483412322274,0.6163793103448276,0.6624472573839663,0.6000493464972666,0.05574487388058518
0.638129472732544,0.04082583585242405,0.028258275985717774,0.003558807540771985,0.05,5.0,200,10,"{'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__max_iter': 200, 'pca__n_components': 10}",0.46153846153846156,0.42990654205607476,0.4077669902912621,0.39622641509433965,0.4077669902912621,0.42064107985428,0.023177596242613265,41,0.8432835820895522,0.8114285714285714,0.8395522388059702,0.8279773156899811,0.8908765652951699,0.8426236546618489,0.026555078412110952
0.700271463394165,0.09556085663276309,0.0288637638092041,0.01089818821603566,0.05,5.0,200,15,"{'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__max_iter': 200, 'pca__n_components': 15}",0.5116279069767442,0.5546218487394958,0.5042016806722689,0.5254237288135594,0.5299145299145299,0.5251579390233196,0.01739565640117822,22,0.9509306260575296,0.9459459459459459,0.9331046312178388,0.9509306260575296,0.9527027027027027,0.9467229063963094,0.007172570804652559
0.7455038547515869,0.046437503354926274,0.039644622802734376,0.00927084158442692,0.05,5.0,300,5,"{'clf__learning_rate': 0.05, 'clf__max_depth': 5, 'clf__max_iter': 300, 'pca__n_components': 5}",0.2909090909090909,0.30612244897959184,0.2127659574468085,0.3090909090909091,0.2912621359223301,0.282030108469746,0.03542405137324768,64,0.7671232876712328,0.7004048582995951,0.6406926406926406,0.7283702213279678,0.7607843137254902,0.7194750643433854,0.04610048616540124
