mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__penalty,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.005014228820800781,0.0025851565353220396,0.002230405807495117,0.0009648571490069765,0.01,,l1,2,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l1', 'pca__n_components': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0028581619262695312,0.0008242291591545471,0.002328777313232422,0.00015461400553302341,0.01,,l1,3,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l1', 'pca__n_components': 3}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0034180641174316405,0.001049447973667236,0.00289154052734375,0.0010448524750631468,0.01,,l1,4,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l1', 'pca__n_components': 4}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0026920318603515627,0.00093539713003523,0.0017583847045898437,0.00033696963573857946,0.01,,l1,5,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l1', 'pca__n_components': 5}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0027875900268554688,0.0007590811893047866,0.0018419742584228516,0.0005704696778921552,0.01,,l1,6,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l1', 'pca__n_components': 6}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025089740753173827,0.0007013800272408511,0.0015726566314697265,0.00032665431519873826,0.01,,l1,8,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l1', 'pca__n_components': 8}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0020671367645263674,0.00019254808439674593,0.0015340805053710937,0.0002988110467099269,0.01,,l1,10,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l1', 'pca__n_components': 10}",0.02531645569620253,0.0,0.0,0.0,0.0,0.005063291139240506,0.010126582278481013,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0026274204254150392,0.0005764856605747622,0.0017623424530029297,0.00045751829325921695,0.01,,l1,12,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l1', 'pca__n_components': 12}",0.02531645569620253,0.0,0.0,0.0,0.0,0.005063291139240506,0.010126582278481013,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002320718765258789,0.00027556441238244146,0.001344442367553711,0.00010303247241135317,0.01,,l1,15,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l1', 'pca__n_components': 15}",0.02531645569620253,0.0,0.0,0.0,0.0,0.005063291139240506,0.010126582278481013,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0016805171966552735,0.00016492560015741596,0.001318645477294922,0.00014323091337972648,0.01,,l2,2,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l2', 'pca__n_components': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018822193145751954,0.0003729057916868788,0.001375293731689453,0.00025043229699532447,0.01,,l2,3,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l2', 'pca__n_components': 3}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0017697811126708984,0.00025039663117224956,0.0013391494750976563,0.00011423304672879037,0.01,,l2,4,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l2', 'pca__n_components': 4}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001703023910522461,0.00024696178556476387,0.0012157440185546875,8.58645107598683e-05,0.01,,l2,5,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l2', 'pca__n_components': 5}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0017198085784912109,0.00022268410668084407,0.0014362335205078125,0.0005485350503933822,0.01,,l2,6,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l2', 'pca__n_components': 6}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0019596099853515627,0.0005805567578371426,0.0014126300811767578,0.00017087644356736611,0.01,,l2,8,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l2', 'pca__n_components': 8}",0.0,0.075,0.05,0.0,0.02531645569620253,0.030063291139240507,0.029144178006607433,126,0.0,0.049689440993788817,0.08383233532934131,0.0,0.012779552715654952,0.029260265807757015,0.03280061641175538
0.002062273025512695,0.000438987366940325,0.001382589340209961,0.0002283726432357142,0.01,,l2,10,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l2', 'pca__n_components': 10}",0.07142857142857142,0.07407407407407407,0.02531645569620253,0.07407407407407407,0.07228915662650602,0.06343646637988562,0.019087673913533124,117,0.07951070336391437,0.055900621118012424,0.09467455621301775,0.06191950464396285,0.06172839506172839,0.07074675608012716,0.014345768141729639
0.0021150588989257814,0.00019875299207989145,0.0014836788177490234,0.0004945687101554862,0.01,,l2,12,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l2', 'pca__n_components': 12}",0.09523809523809523,0.28888888888888886,0.0963855421686747,0.1411764705882353,0.09523809523809523,0.14338541842439786,0.07486181562828907,107,0.13569321533923304,0.0790273556231003,0.14985590778097982,0.1130952380952381,0.11343283582089553,0.11822091053188935,0.024047400732656547
0.002707099914550781,0.0004767313744509149,0.001482105255126953,0.0002317075643624486,0.01,,l2,15,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l2', 'pca__n_components': 15}",0.09523809523809523,0.28888888888888886,0.0963855421686747,0.1411764705882353,0.09523809523809523,0.14338541842439786,0.07486181562828907,107,0.13529411764705881,0.0790273556231003,0.14985590778097982,0.1130952380952381,0.1130952380952381,0.11807357144832302,0.024003494288805785
0.0015758991241455079,0.00010912295170564289,0.001535654067993164,0.0005173263005366286,0.01,balanced,l1,2,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'pca__n_components': 2}",0.26956521739130435,0.2838427947598253,0.2813852813852814,0.2942430703624733,0.25902335456475584,0.27761194369272807,0.012165043416331029,85,0.2798708288482239,0.27697262479871176,0.27586206896551724,0.27429805615550756,0.28324324324324324,0.2780493644022407,0.003172067250432175
0.0022628307342529297,0.0009344809805649731,0.0013311386108398437,0.00020555267994634848,0.01,balanced,l1,3,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'pca__n_components': 3}",0.2891566265060241,0.2838427947598253,0.2813852813852814,0.2942430703624733,0.25902335456475584,0.281530225515672,0.01209716199342324,80,0.2964734010759115,0.27697262479871176,0.27586206896551724,0.27429805615550756,0.28324324324324324,0.28136987884777825,0.008140127356694
0.002003383636474609,0.00039885598133281426,0.001352977752685547,0.00019037823715615235,0.01,balanced,l1,4,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'pca__n_components': 4}",0.2891566265060241,0.31868131868131866,0.2813852813852814,0.30857142857142855,0.25902335456475584,0.2913636019417617,0.02094132835942889,63,0.2964734010759115,0.30484330484330485,0.27586206896551724,0.26857142857142857,0.28324324324324324,0.28579868933988106,0.013256636776512377
0.0016406059265136718,0.00010940523327108177,0.001171255111694336,3.193477808782317e-05,0.01,balanced,l1,5,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'pca__n_components': 5}",0.2829736211031175,0.3241758241758242,0.27699530516431925,0.30857142857142855,0.25902335456475584,0.29034790671588906,0.023196225436300143,64,0.3000612369871402,0.3074733096085409,0.2796709753231492,0.26857142857142857,0.28324324324324324,0.2878040387467004,0.014099361654853171
0.0015710353851318359,0.00012411418147277334,0.0011386871337890625,2.3511505263117155e-05,0.01,balanced,l1,6,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'pca__n_components': 6}",0.2829736211031175,0.3241758241758242,0.27699530516431925,0.30857142857142855,0.25902335456475584,0.29034790671588906,0.023196225436300143,64,0.3000612369871402,0.3074733096085409,0.2796709753231492,0.26857142857142857,0.28324324324324324,0.2878040387467004,0.014099361654853171
0.0020609378814697267,0.0007219551635589124,0.001773691177368164,0.0010944020352088208,0.01,balanced,l1,8,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'pca__n_components': 8}",0.2829736211031175,0.3388888888888889,0.313953488372093,0.3273809523809524,0.31671554252199413,0.31598249865340916,0.018702233525245745,40,0.3000612369871402,0.34328358208955223,0.3602668643439585,0.3074691805656273,0.31794871794871793,0.32580591638699924,0.022599936715775527
0.0026177883148193358,0.0009281393604576375,0.0016874313354492188,0.00039724154610844194,0.01,balanced,l1,10,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'pca__n_components': 10}",0.37037037037037035,0.3388888888888889,0.313953488372093,0.36585365853658536,0.3768996960486322,0.35319322044331397,0.02350195154533259,37,0.37019969278033793,0.34328358208955223,0.3602668643439585,0.362555720653789,0.35624538063562455,0.35851024810065246,0.008866517334011042
0.002477693557739258,0.0003746088495149988,0.001520824432373047,0.0002682842985040677,0.01,balanced,l1,12,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'pca__n_components': 12}",0.4036697247706422,0.3880597014925373,0.3652173913043478,0.39634146341463417,0.3862928348909657,0.3879162231746255,0.012938704954205663,28,0.4024767801857585,0.39013107170393213,0.4,0.38871951219512196,0.39570552147239263,0.395406577111441,0.005361426444070488
0.002178335189819336,0.00017391935763235065,0.0011962413787841796,5.167132946756e-05,0.01,balanced,l1,15,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1', 'pca__n_components': 15}",0.4036697247706422,0.3880597014925373,0.3652173913043478,0.39634146341463417,0.3862928348909657,0.3879162231746255,0.012938704954205663,28,0.4024767801857585,0.39013107170393213,0.4,0.38871951219512196,0.39570552147239263,0.395406577111441,0.005361426444070488
0.0015739917755126954,7.084978654147212e-05,0.001332998275756836,0.0003785843204746909,0.01,balanced,l2,2,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'pca__n_components': 2}",0.26956521739130435,0.2838427947598253,0.2710997442455243,0.2894168466522678,0.25862068965517243,0.27450905854081886,0.010934953436608332,88,0.28109854604200324,0.27697262479871176,0.26846499678869623,0.2702407002188184,0.282883874518437,0.2759321484733333,0.005731521392136709
0.0021506309509277343,0.0006380906963934002,0.0017704486846923829,0.000596391909622186,0.01,balanced,l2,3,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'pca__n_components': 3}",0.2888283378746594,0.27631578947368424,0.2670299727520436,0.2745995423340961,0.24892703862660945,0.27114013621221855,0.01312968014437008,96,0.295376121463078,0.27370689655172414,0.26877470355731226,0.2694300518134715,0.2841409691629956,0.2782857485097163,0.010160843290783749
0.0021532535552978515,0.0006085471698447456,0.0015557765960693359,0.0003816848863357398,0.01,balanced,l2,4,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'pca__n_components': 4}",0.29508196721311475,0.314540059347181,0.25842696629213485,0.2839506172839506,0.2517814726840855,0.28075621656409333,0.02321598829009506,83,0.28804347826086957,0.308502633559067,0.25775327360441075,0.2904191616766467,0.28933092224231466,0.28680989386866174,0.0163448234317767
0.0018724441528320313,0.00028760810201463916,0.0016416549682617188,0.0009324997840228805,0.01,balanced,l2,5,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2', 'pca__n_components': 5}",0.2832369942196532,0.3393939393939394,0.2523076923076923,0.30864197530864196,0.26732673267326734,0.2901814667806389,0.03087926553182211,66,0.29715950473415875,0.3115264797507788,0.2826747720364742,0.2980988593155893,0.29252981795354677,0.2963978867581095,0.00933416873064312
