model,variant,split,accuracy,precision,recall,f1,roc_auc
logreg_partial_lda,tuned,train,0.7629407351837959,0.3508557457212714,0.7396907216494846,0.4759535655058043,0.819226713612049
logreg_partial_lda,tuned,test,0.7766116941529235,0.36363636363636365,0.7578947368421053,0.49146757679180886,0.8214574898785425
knn_partial_lda,tuned,train,0.877344336084021,0.641860465116279,0.3556701030927835,0.4577114427860697,0.8957514957052217
knn_partial_lda,tuned,test,0.856071964017991,0.49056603773584906,0.2736842105263158,0.35135135135135137,0.7616488774383512
