mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,param_clf__p,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0031174659729003907,0.00047198590119329275,0.012148189544677734,0.002144161786212471,3,1,uniform,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.3795620437956204,0.366412213740458,0.3076923076923077,0.3142857142857143,0.29310344827586204,0.33221114555799247,0.034245370817158664,9,0.6018691588785047,0.6313868613138686,0.6292134831460674,0.5914396887159533,0.6003824091778203,0.6108583202464428,0.016284753536742157
0.003491115570068359,0.0009976928755668513,0.002364444732666016,0.0006244189487058738,3,1,distance,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}",0.3724137931034483,0.3918918918918919,0.31654676258992803,0.33986928104575165,0.3357664233576642,0.3512976303977368,0.027104371485420366,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.003352451324462891,0.001346141569585667,0.011452436447143555,0.0023921099346938244,3,2,uniform,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'}",0.3795620437956204,0.366412213740458,0.3076923076923077,0.3142857142857143,0.29310344827586204,0.33221114555799247,0.034245370817158664,9,0.6018691588785047,0.6313868613138686,0.6292134831460674,0.5914396887159533,0.6003824091778203,0.6108583202464428,0.016284753536742157
0.00401611328125,0.0013803954717263942,0.0027334213256835936,0.0007510734174739712,3,2,distance,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance'}",0.3724137931034483,0.3918918918918919,0.31654676258992803,0.33986928104575165,0.3357664233576642,0.3512976303977368,0.027104371485420366,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0033377647399902345,0.0011516022388767708,0.012110424041748048,0.0024050899252508807,5,1,uniform,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}",0.3333333333333333,0.3770491803278688,0.2727272727272727,0.3582089552238806,0.3185840707964602,0.3319805624817631,0.03580881797986056,11,0.49193548387096775,0.5158730158730159,0.5412667946257198,0.5121951219512195,0.48,0.5082540832641846,0.021109282028181013
0.0031033992767333985,0.001066790046062287,0.002347517013549805,0.0009584810761692285,5,1,distance,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'}",0.39436619718309857,0.38848920863309355,0.3188405797101449,0.33783783783783783,0.3458646616541353,0.35707969700366193,0.02944519237453348,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0028710365295410156,0.0011474263333907295,0.010993623733520507,0.0019848007227884087,5,2,uniform,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform'}",0.3333333333333333,0.3770491803278688,0.2727272727272727,0.3582089552238806,0.3185840707964602,0.3319805624817631,0.03580881797986056,11,0.49193548387096775,0.5158730158730159,0.5412667946257198,0.5121951219512195,0.48,0.5082540832641846,0.021109282028181013
0.00293121337890625,0.0012553709405566642,0.002933979034423828,0.0014968643204347075,5,2,distance,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'distance'}",0.39436619718309857,0.38848920863309355,0.3188405797101449,0.33783783783783783,0.3458646616541353,0.35707969700366193,0.02944519237453348,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0039024829864501955,0.0015213066635327956,0.010749197006225586,0.0012126657317914613,7,1,uniform,"{'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'uniform'}",0.3130434782608696,0.35398230088495575,0.35658914728682173,0.33070866141732286,0.2727272727272727,0.32541017211544854,0.030805817726130957,15,0.41304347826086957,0.4896265560165975,0.4426229508196721,0.4573804573804574,0.4602510460251046,0.4525848977005403,0.024966441118199467
0.00290069580078125,0.000719580444167882,0.0023574352264404295,0.0010467262549657744,7,1,distance,"{'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'distance'}",0.35294117647058826,0.3795620437956204,0.30656934306569344,0.3150684931506849,0.328125,0.3364532112965174,0.02664558233190065,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0030626773834228514,0.0005875065984247511,0.011734342575073243,0.002697229883161384,7,2,uniform,"{'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'uniform'}",0.3130434782608696,0.35398230088495575,0.35658914728682173,0.33070866141732286,0.2727272727272727,0.32541017211544854,0.030805817726130957,15,0.41304347826086957,0.4896265560165975,0.4426229508196721,0.4573804573804574,0.4602510460251046,0.4525848977005403,0.024966441118199467
