mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.005533647537231445,0.0022109625108685284,0.001971006393432617,0.0010978880090289167,0.01,,l1,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l1'}",0.1797752808988764,0.21978021978021978,0.20618556701030927,0.22448979591836735,0.1875,0.20354617272155456,0.01750246265975146,20,0.20911528150134048,0.17534246575342466,0.24146981627296588,0.23958333333333334,0.21195652173913043,0.215493483720039,0.024167691303241097
0.004637575149536133,0.0015192178876947333,0.0016513347625732421,0.0003410078658523443,0.01,,l2,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l2'}",0.31683168316831684,0.31683168316831684,0.2830188679245283,0.2882882882882883,0.3018867924528302,0.3013714630004561,0.014044853764222799,19,0.29397590361445786,0.29594272076372313,0.3177570093457944,0.31529411764705884,0.28780487804878047,0.302154925883963,0.01206213197697969
0.004621267318725586,0.0009540172556349707,0.0020475864410400392,0.0008170644486204962,0.01,balanced,l1,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1'}",0.43902439024390244,0.4580152671755725,0.4420289855072464,0.4855072463768116,0.47509578544061304,0.4599343349488292,0.018140306101192896,10,0.4692942254812099,0.4564240790655885,0.47451343836886006,0.46382189239332094,0.45578851412944393,0.46396842988768466,0.0072582508491799355
0.0034570217132568358,0.0006234989539714828,0.0013978958129882812,0.0002567799487404674,0.01,balanced,l2,"{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2'}",0.4566929133858268,0.4954954954954955,0.43548387096774194,0.5079365079365079,0.49137931034482757,0.4773976196260799,0.026985520831237588,9,0.490134994807892,0.478844169246646,0.5010266940451745,0.48082901554404145,0.4841025641025641,0.4869874875492637,0.007994614620957212
0.003541231155395508,0.0002834110441580713,0.002132081985473633,0.0008332951601417759,0.1,,l1,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__penalty': 'l1'}",0.3076923076923077,0.3619047619047619,0.2962962962962963,0.2905982905982906,0.3302752293577982,0.317353377169891,0.026093569022202542,17,0.32407407407407407,0.3109048723897912,0.33712984054669703,0.3356009070294785,0.308411214953271,0.32322418179866236,0.011987179489854009
0.004012537002563476,0.0008302772261059812,0.0017121791839599609,0.00048135802074764935,0.1,,l2,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__penalty': 'l2'}",0.3076923076923077,0.3584905660377358,0.2962962962962963,0.2905982905982906,0.3302752293577982,0.3166705379964857,0.02493785396160947,18,0.32407407407407407,0.3187066974595843,0.3356009070294785,0.3393665158371041,0.3148148148148148,0.32651260184301123,0.009503022449831687
0.003569793701171875,0.000503958551646614,0.001568174362182617,0.0006252664509076404,0.1,balanced,l1,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1'}",0.4715447154471545,0.514018691588785,0.4262295081967213,0.5142857142857142,0.4933920704845815,0.4838941400005913,0.03286050860006133,1,0.492600422832981,0.4808510638297872,0.5010615711252654,0.48665955176093917,0.48568398727465534,0.48937131936472555,0.0069373474944471195
0.004127073287963867,0.0010358206875897115,0.002382993698120117,0.001214047107401807,0.1,balanced,l2,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2'}",0.47346938775510206,0.5023696682464455,0.4262295081967213,0.5020576131687243,0.4933920704845815,0.47950364957031494,0.028632047689033848,8,0.4904051172707889,0.4829059829059829,0.5031982942430704,0.4844587352625938,0.48723404255319147,0.48964043444712546,0.007244223464436615
0.004324579238891601,0.000840447758318768,0.0017586708068847655,0.0005556983114165254,1.0,,l1,"{'clf__C': 1.0, 'clf__class_weight': None, 'clf__penalty': 'l1'}",0.3076923076923077,0.37383177570093457,0.2909090909090909,0.2905982905982906,0.3302752293577982,0.3186613388516844,0.03116633164984282,11,0.3317972350230415,0.31797235023041476,0.3415730337078652,0.3393665158371041,0.31724137931034485,0.32959010282175405,0.010310222735293188
0.004993152618408203,0.0028264056165299197,0.003007173538208008,0.0018650281059734114,1.0,,l2,"{'clf__C': 1.0, 'clf__class_weight': None, 'clf__penalty': 'l2'}",0.3076923076923077,0.37383177570093457,0.2909090909090909,0.2905982905982906,0.3302752293577982,0.3186613388516844,0.03116633164984282,11,0.3317972350230415,0.31797235023041476,0.3415730337078652,0.3393665158371041,0.31724137931034485,0.32959010282175405,0.010310222735293188
0.0037267208099365234,0.0007595868507338783,0.0017092704772949218,0.0005972899511904099,1.0,balanced,l1,"{'clf__C': 1.0, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1'}",0.47346938775510206,0.5047619047619047,0.4262295081967213,0.49586776859504134,0.49777777777777776,0.4796212694173095,0.028685135143930625,7,0.4866023579849946,0.4834224598930481,0.5037513397642015,0.48283261802575106,0.48562300319488816,0.4884463557725767,0.007776474315535529
0.004173183441162109,0.001703399872112208,0.001874685287475586,0.0004224871134952028,1.0,balanced,l2,"{'clf__C': 1.0, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2'}",0.47540983606557374,0.5047619047619047,0.4262295081967213,0.49586776859504134,0.49777777777777776,0.4800093590794038,0.028612313244786778,2,0.4871244635193133,0.4834224598930481,0.5048335123523093,0.48283261802575106,0.48562300319488816,0.488767211397062,0.008179198729894182
0.0038884639739990234,0.0008354998792983306,0.0018491744995117188,0.0008730946571368593,10.0,,l1,"{'clf__C': 10.0, 'clf__class_weight': None, 'clf__penalty': 'l1'}",0.3076923076923077,0.37383177570093457,0.2909090909090909,0.2905982905982906,0.3302752293577982,0.3186613388516844,0.03116633164984282,11,0.3317972350230415,0.3218390804597701,0.34080717488789236,0.3393665158371041,0.3165137614678899,0.3300647535351396,0.009552119912331207
0.0038460254669189452,0.0007219928169882634,0.0014261722564697266,0.00020171087665343796,10.0,,l2,"{'clf__C': 10.0, 'clf__class_weight': None, 'clf__penalty': 'l2'}",0.3076923076923077,0.37383177570093457,0.2909090909090909,0.2905982905982906,0.3302752293577982,0.3186613388516844,0.03116633164984282,11,0.3317972350230415,0.3218390804597701,0.34080717488789236,0.3393665158371041,0.3165137614678899,0.3300647535351396,0.009552119912331207
0.004330778121948242,0.0008874495584692647,0.0013044357299804687,0.0002206102147201086,10.0,balanced,l1,"{'clf__C': 10.0, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1'}",0.47540983606557374,0.5047619047619047,0.4262295081967213,0.49586776859504134,0.49777777777777776,0.4800093590794038,0.028612313244786778,2,0.48764769065520946,0.48394004282655245,0.5053763440860215,0.4838709677419355,0.4861407249466951,0.48939515405128275,0.008115642240739724
0.0032953262329101563,0.0006122260181409062,0.0023439884185791015,0.0018609740869860415,10.0,balanced,l2,"{'clf__C': 10.0, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2'}",0.47540983606557374,0.5047619047619047,0.4262295081967213,0.49586776859504134,0.49777777777777776,0.4800093590794038,0.028612313244786778,2,0.48764769065520946,0.48394004282655245,0.5053763440860215,0.4838709677419355,0.4861407249466951,0.48939515405128275,0.008115642240739724
0.004477500915527344,0.0010971643564824116,0.0014965534210205078,0.0005505597841140742,100.0,,l1,"{'clf__C': 100.0, 'clf__class_weight': None, 'clf__penalty': 'l1'}",0.3076923076923077,0.37383177570093457,0.2909090909090909,0.2905982905982906,0.3302752293577982,0.3186613388516844,0.03116633164984282,11,0.3317972350230415,0.3218390804597701,0.34080717488789236,0.3393665158371041,0.32036613272311215,0.330835227786184,0.008528548304242487
0.00428919792175293,0.0022024998310489026,0.0016314029693603516,0.0006002941714019524,100.0,,l2,"{'clf__C': 100.0, 'clf__class_weight': None, 'clf__penalty': 'l2'}",0.3076923076923077,0.37383177570093457,0.2909090909090909,0.2905982905982906,0.3302752293577982,0.3186613388516844,0.03116633164984282,11,0.3317972350230415,0.3218390804597701,0.34080717488789236,0.3393665158371041,0.32036613272311215,0.330835227786184,0.008528548304242487
0.003625154495239258,0.0008537886828349155,0.0014409542083740235,0.00020285492257776416,100.0,balanced,l1,"{'clf__C': 100.0, 'clf__class_weight': 'balanced', 'clf__penalty': 'l1'}",0.47540983606557374,0.5047619047619047,0.4262295081967213,0.49586776859504134,0.49777777777777776,0.4800093590794038,0.028612313244786778,2,0.48764769065520946,0.48394004282655245,0.5053763440860215,0.4838709677419355,0.4861407249466951,0.48939515405128275,0.008115642240739724
0.004849433898925781,0.001609466285190995,0.001294565200805664,0.00013936306474457284,100.0,balanced,l2,"{'clf__C': 100.0, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2'}",0.47540983606557374,0.5047619047619047,0.4262295081967213,0.49586776859504134,0.49777777777777776,0.4800093590794038,0.028612313244786778,2,0.48764769065520946,0.48394004282655245,0.5053763440860215,0.4838709677419355,0.4861407249466951,0.48939515405128275,0.008115642240739724
