threshold,precision,recall,f1
0.0,0.145536384096024,1.0,0.2540929927963327
0.005,0.145536384096024,1.0,0.2540929927963327
0.01,0.145536384096024,1.0,0.2540929927963327
0.015,0.14559099437148218,1.0,0.25417622011136587
0.02,0.14570033796470147,1.0,0.25434283841363486
0.025,0.14591951861602107,1.0,0.25467673121102724
0.03,0.14597441685477802,1.0,0.25476034143138543
0.035,0.14630467571644043,1.0,0.25526315789473686
0.04,0.14641509433962263,1.0,0.2554312047399605
0.045,0.14658103513411408,1.0,0.2556836902800659
0.05,0.1468584405753217,1.0,0.25610561056105613
0.055,0.14736042537030003,1.0,0.25686858656074146
0.06,0.1479222264582539,1.0,0.2577216871471272
0.065,0.14837476099426386,1.0,0.25840825840825843
0.07,0.14856046065259118,0.9974226804123711,0.25860340795188774
0.075,0.14936318023928985,0.9974226804123711,0.2598187311178248
0.08,0.15052508751458576,0.9974226804123711,0.2615748563703954
0.085,0.15146771037181997,0.9974226804123711,0.26299694189602446
0.09,0.15278326095538886,0.9974226804123711,0.264977747346799
0.095,0.15350877192982457,0.9922680412371134,0.26588397790055246
0.1,0.15455640305098353,0.9922680412371134,0.2674539770753734
0.105,0.1542188130803391,0.9845360824742269,0.26666666666666666
0.11,0.15506715506715507,0.9819587628865979,0.26783831282952547
0.115,0.15653245686113393,0.9819587628865979,0.27002126151665484
0.12,0.1581569115815691,0.9819587628865979,0.27243475151948515
0.125,0.1589958158995816,0.979381443298969,0.2735781137508999
0.13,0.16,0.979381443298969,0.2750633369525878
0.135,0.16057774001699235,0.9742268041237113,0.27571115973741794
0.14,0.16165090283748926,0.9690721649484536,0.27708179808400885
0.145,0.1635493692909961,0.9690721649484536,0.27986602158541124
0.15,0.1645458534444932,0.9664948453608248,0.281214848143982
0.155,0.16637089618456077,0.9664948453608248,0.2838758516275549
0.16,0.16763783056925147,0.9639175257731959,0.28560519282168767
0.165,0.168625678119349,0.961340206185567,0.28692307692307695
0.17,0.17008663930688556,0.961340206185567,0.28903525765207283
0.17500000000000002,0.1722863741339492,0.961340206185567,0.29220524872698783
0.18,0.17432052483598875,0.9587628865979382,0.2950039651070579
0.185,0.17621980104216012,0.9587628865979382,0.297719087635054
0.19,0.17793764988009592,0.9561855670103093,0.3000404367165386
0.195,0.17952450266860748,0.9536082474226805,0.30216414863209473
0.2,0.18217626784835056,0.9536082474226805,0.3059115336916081
0.20500000000000002,0.1839481555333998,0.9510309278350515,0.3082706766917293
0.21,0.18608169440242056,0.9510309278350515,0.3112610712779418
0.215,0.1885539090444558,0.9510309278350515,0.31471215351812365
0.22,0.19008264462809918,0.9484536082474226,0.31669535283993117
0.225,0.19124544033350704,0.9458762886597938,0.31816211530125704
0.23,0.19242902208201892,0.9432989690721649,0.31965065502183404
0.23500000000000001,0.19457735247208932,0.9432989690721649,0.32260907888937856
0.24,0.19687162891046386,0.9407216494845361,0.3256021409455843
0.245,0.19901585565882995,0.9381443298969072,0.3283716734325665
0.25,0.20088544548976203,0.9355670103092784,0.330751708428246
0.255,0.2031425364758698,0.9329896907216495,0.3336405529953917
0.26,0.20512820512820512,0.9278350515463918,0.3359776014932338
0.265,0.20809248554913296,0.9278350515463918,0.33994334277620397
0.27,0.21101992966002345,0.9278350515463918,0.3438395415472779
0.275,0.21305637982195846,0.9252577319587629,0.34635793535938253
0.28,0.21402877697841727,0.9201030927835051,0.3472762645914397
0.28500000000000003,0.21585365853658536,0.9123711340206185,0.34911242603550297
0.29,0.21844059405940594,0.9097938144329897,0.3522954091816367
0.295,0.22048719550281073,0.9097938144329897,0.3549522373051785
0.3,0.22328244274809161,0.904639175257732,0.35816326530612247
0.305,0.2263056092843327,0.904639175257732,0.36204228984012377
0.31,0.22819672131147542,0.8969072164948454,0.36382645060115004
0.315,0.23010610079575597,0.8943298969072165,0.36603375527426163
0.32,0.2347767253044655,0.8943298969072165,0.37191854233654875
0.325,0.236986301369863,0.8917525773195877,0.37445887445887444
0.33,0.23922114047287898,0.8865979381443299,0.37677984665936476
0.335,0.2431095406360424,0.8865979381443299,0.38158624514697725
0.34,0.24711815561959655,0.884020618556701,0.38626126126126126
0.34500000000000003,0.24945135332845647,0.8788659793814433,0.3886039886039886
0.35000000000000003,0.25392083644510827,0.8762886597938144,0.3937463810075275
0.355,0.25627376425855514,0.8685567010309279,0.3957721667645332
0.36,0.2594887683965918,0.8634020618556701,0.3990470518165575
0.365,0.26365795724465557,0.8582474226804123,0.4033918837068443
0.37,0.26704089815557336,0.8582474226804123,0.4073394495412844
0.375,0.2714636140637776,0.8556701030927835,0.4121663563004345
0.38,0.27378964941569284,0.845360824742268,0.4136191677175284
0.385,0.2763605442176871,0.8376288659793815,0.4156010230179028
0.39,0.28027681660899656,0.8350515463917526,0.41968911917098445
0.395,0.28234265734265734,0.8324742268041238,0.4216710182767624
0.4,0.2860938883968113,0.8324742268041238,0.4258404746209624
0.405,0.2893081761006289,0.8298969072164949,0.4290473017988008
0.41000000000000003,0.2911737943585077,0.8247422680412371,0.43039677202420984
0.41500000000000004,0.29591836734693877,0.8221649484536082,0.43519781718963163
0.42,0.29699248120300753,0.8144329896907216,0.43526170798898073
0.425,0.30019120458891013,0.8092783505154639,0.43793584379358436
0.43,0.30430528375733856,0.8015463917525774,0.44113475177304967
0.435,0.30776892430278885,0.7963917525773195,0.44396551724137934
0.44,0.3111111111111111,0.7938144329896907,0.44702467343976776
0.445,0.3158974358974359,0.7938144329896907,0.45194424064563465
0.45,0.316008316008316,0.7835051546391752,0.45037037037037037
0.455,0.3202127659574468,0.7757731958762887,0.45331325301204817
0.46,0.3232758620689655,0.7731958762886598,0.45592705167173253
0.465,0.32929515418502203,0.770618556701031,0.46141975308641975
0.47000000000000003,0.33221850613154963,0.7680412371134021,0.46381322957198445
0.47500000000000003,0.332955832389581,0.7577319587628866,0.4626278520849725
0.48,0.3367816091954023,0.7551546391752577,0.465818759936407
0.485,0.34349355216881594,0.7551546391752577,0.47219983883964545
0.49,0.34688995215311,0.7474226804123711,0.4738562091503268
0.495,0.3533007334963325,0.7448453608247423,0.4792703150912106
0.5,0.35830212234706615,0.7396907216494846,0.4827586206896552
0.505,0.35994930291508237,0.7319587628865979,0.4825828377230246
0.51,0.36175710594315247,0.7216494845360825,0.4819277108433735
0.515,0.36363636363636365,0.711340206185567,0.4812554489973845
0.52,0.36644295302013424,0.7036082474226805,0.4819064430714916
0.525,0.36906377204884666,0.7010309278350515,0.48355555555555557
0.53,0.37327823691460055,0.6984536082474226,0.4865350089766607
0.535,0.37780898876404495,0.6932989690721649,0.4890909090909091
0.54,0.3852813852813853,0.6881443298969072,0.4939870490286771
0.545,0.38619676945668135,0.6778350515463918,0.4920486435921422
0.55,0.38830584707646176,0.6675257731958762,0.4909952606635071
0.555,0.38837920489296635,0.654639175257732,0.4875239923224568
0.56,0.3915756630265211,0.6469072164948454,0.4878522837706511
0.5650000000000001,0.3933649289099526,0.6417525773195877,0.4877571008814887
0.5700000000000001,0.3987138263665595,0.6391752577319587,0.4910891089108911
0.5750000000000001,0.40032414910858993,0.6365979381443299,0.49154228855721394
0.58,0.400990099009901,0.6262886597938144,0.48893360160965793
0.585,0.40472175379426645,0.6185567010309279,0.4892966360856269
0.59,0.4086206896551724,0.6108247422680413,0.4896694214876033
0.595,0.41134751773049644,0.5979381443298969,0.48739495798319327
0.6,0.41335740072202165,0.5902061855670103,0.4861995753715499
0.605,0.4186471663619744,0.5902061855670103,0.4898395721925134
0.61,0.423728813559322,0.5798969072164949,0.4896626768226333
0.615,0.42829457364341084,0.5695876288659794,0.4889380530973451
0.62,0.4324853228962818,0.5695876288659794,0.4916573971078977
0.625,0.4351297405189621,0.5618556701030928,0.4904386951631046
0.63,0.4414784394250513,0.5541237113402062,0.49142857142857144
0.635,0.44234800838574423,0.5438144329896907,0.48786127167630056
0.64,0.4465811965811966,0.538659793814433,0.4883177570093458
0.645,0.45021645021645024,0.5360824742268041,0.4894117647058824
0.65,0.45374449339207046,0.5309278350515464,0.48931116389548696
0.655,0.4592760180995475,0.5231958762886598,0.4891566265060241
0.66,0.4618937644341801,0.5154639175257731,0.48721071863581
0.665,0.4584323040380047,0.49742268041237114,0.47713226205191595
0.67,0.4613526570048309,0.49226804123711343,0.4763092269326683
0.675,0.4617283950617284,0.48195876288659795,0.47162673392181587
0.68,0.46329113924050636,0.47164948453608246,0.4674329501915709
0.685,0.4609375,0.45618556701030927,0.4585492227979275
0.6900000000000001,0.45187165775401067,0.43556701030927836,0.4435695538057743
0.6950000000000001,0.46111111111111114,0.42783505154639173,0.44385026737967914
0.7000000000000001,0.46875,0.4252577319587629,0.44594594594594594
0.705,0.47093023255813954,0.4175257731958763,0.4426229508196721
0.71,0.4749262536873156,0.41494845360824745,0.44291609353507566
0.715,0.47575757575757577,0.40463917525773196,0.4373259052924791
0.72,0.48417721518987344,0.3943298969072165,0.4346590909090909
0.725,0.49,0.3788659793814433,0.4273255813953488
0.73,0.5,0.37628865979381443,0.4294117647058823
0.735,0.5035460992907801,0.36597938144329895,0.42388059701492536
0.74,0.5054545454545455,0.3582474226804124,0.4193061840120664
0.745,0.5092936802973977,0.35309278350515466,0.4170471841704718
0.75,0.5113636363636364,0.3479381443298969,0.41411042944785276
0.755,0.515748031496063,0.33762886597938147,0.40809968847352024
0.76,0.516,0.3324742268041237,0.4043887147335423
0.765,0.5185185185185185,0.3247422680412371,0.3993660855784469
0.77,0.5236051502145923,0.31443298969072164,0.392914653784219
0.775,0.5242290748898678,0.30670103092783507,0.38699186991869916
0.78,0.5315315315315315,0.30412371134020616,0.38688524590163936
0.785,0.5280373831775701,0.2912371134020619,0.3754152823920266
0.79,0.5336538461538461,0.2860824742268041,0.3724832214765101
0.795,0.5422885572139303,0.2809278350515464,0.3701188455008489
0.8,0.533678756476684,0.2654639175257732,0.35456110154905335
0.805,0.532258064516129,0.2551546391752577,0.34494773519163763
0.81,0.5402298850574713,0.2422680412371134,0.33451957295373663
0.8150000000000001,0.5365853658536586,0.2268041237113402,0.3188405797101449
0.8200000000000001,0.5443037974683544,0.22164948453608246,0.315018315018315
0.8250000000000001,0.5490196078431373,0.21649484536082475,0.31053604436229204
0.8300000000000001,0.5540540540540541,0.211340206185567,0.30597014925373134
0.835,0.5594405594405595,0.20618556701030927,0.3013182674199623
