mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
10.265957117080688,0.08862509178665907,0.5245295524597168,0.021915105501811815,800,5,2,,20.0,balanced,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20, 'class_weight': 'balanced'}",0.6206896551724138,0.7464788732394366,0.7567567567567568,0.6666666666666666,0.7361111111111112,0.7053406125892769,0.0528095798780303,10,0.9733124018838305,0.9841772151898734,0.9779874213836478,0.9567901234567902,0.9748427672955975,0.973421985841948,0.009112273426468634
4.153172779083252,2.4080259717957464,3.953370761871338,1.3849154459550141,400,5,1,,10.0,,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10, 'class_weight': None}",0.7114093959731543,0.7972027972027972,0.8,0.7832167832167832,0.8027210884353742,0.7789100129656219,0.03441296961218085,6,0.9407894736842105,0.945273631840796,0.9386401326699834,0.9429530201342282,0.9240924092409241,0.9383497335140284,0.0074624201830687095
6.168186330795288,0.3676092071179213,3.810045766830444,0.23062177724860766,800,10,5,sqrt,20.0,balanced,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced'}",0.6018518518518519,0.6536585365853659,0.5877192982456141,0.5775862068965517,0.638095238095238,0.6117822263349243,0.029301892563875713,17,0.6935123042505593,0.6903440621531631,0.6903440621531631,0.7029478458049887,0.6850828729281768,0.6924462294580102,0.005907244628471223
1.5996699810028077,0.8647631339307462,0.8135007381439209,0.5781934498631556,200,10,5,sqrt,5.0,balanced,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 5, 'class_weight': 'balanced'}",0.2565789473684211,0.2532894736842105,0.25287356321839083,0.25573770491803277,0.2558139534883721,0.25485872853548547,0.001486448730991083,19,0.2556701030927835,0.25502255022550224,0.25649484536082473,0.25472473294987674,0.2588726513569937,0.25615697659719616,0.0014875708769546395
1.869042158126831,0.3778734899991947,0.7001024723052979,0.20436168064886326,200,2,5,,,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': None, 'max_depth': None, 'class_weight': None}",0.7152317880794702,0.8251748251748252,0.8129032258064516,0.8133333333333334,0.8441558441558441,0.8021598033099849,0.044922393992758235,1,0.9225806451612903,0.9096774193548387,0.9093851132686084,0.9146537842190016,0.922077922077922,0.9156749768163323,0.005749119525409382
2.677992105484009,0.09792307055213506,0.3058459758758545,0.13965361873276824,400,10,2,log2,5.0,balanced,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5, 'class_weight': 'balanced'}",0.2549019607843137,0.25245901639344265,0.25245901639344265,0.2553191489361702,0.2553191489361702,0.25409165828870783,0.0013417224623557904,20,0.253994264645637,0.25450081833060556,0.2548136009832036,0.2538902538902539,0.254411161263849,0.25432201982270985,0.0003392380924466178
2.6236268997192385,0.0981732821456351,0.28641257286071775,0.2303643408780911,400,2,5,sqrt,10.0,,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 10, 'class_weight': None}",0.6888888888888889,0.6871165644171779,0.6770833333333334,0.6774193548387096,0.7252747252747253,0.691156573350567,0.017732905079228985,11,0.7847730600292826,0.7863501483679525,0.7613636363636364,0.7821067821067821,0.7817109144542773,0.7792609082643862,0.009111037395071658
4.164583206176758,0.40310693851790835,0.3130800247192383,0.0545540433646643,800,5,5,log2,5.0,,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 5, 'class_weight': None}",0.6073298429319371,0.6187845303867403,0.6213592233009708,0.6019417475728155,0.656084656084656,0.621100000055424,0.018899791635646142,16,0.6675126903553299,0.6624203821656051,0.673469387755102,0.6777070063694267,0.6693121693121693,0.6700843271915267,0.005205947945121048
2.035065698623657,0.5979021163082775,0.5567652225494385,0.6173224884660173,200,10,2,,10.0,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 10, 'class_weight': None}",0.7105263157894737,0.8251748251748252,0.8079470198675497,0.8133333333333334,0.8311688311688312,0.7976300650668027,0.04432529293718016,3,0.9150326797385621,0.9215358931552587,0.912106135986733,0.9166666666666666,0.900990099009901,0.9132662949114243,0.006857402614531834
2.3522557258605956,0.3641113347423984,0.2983194351196289,0.0974691573929826,400,10,1,log2,20.0,,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20, 'class_weight': None}",0.7464788732394366,0.6976744186046512,0.7671232876712328,0.7611940298507462,0.7445255474452555,0.7433992313622646,0.024417194698515252,8,0.9655172413793104,0.9786535303776683,0.9719934102141681,0.9752066115702479,0.9622331691297209,0.9707207925342232,0.00606279067022021
3.895388698577881,0.07433625558953867,0.643195390701294,0.12913474153629134,800,2,2,log2,20.0,balanced,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'class_weight': 'balanced'}",0.6408839779005525,0.6896551724137931,0.6395939086294417,0.6395939086294417,0.6775956284153005,0.6574645191977059,0.021703140356551336,13,0.8551724137931035,0.8711484593837535,0.8371467025572006,0.841248303934871,0.856353591160221,0.8522138941658298,0.012096876635450879
4.088370037078858,0.6208654398029698,0.6219820976257324,0.1286154661723998,800,2,2,log2,20.0,,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'class_weight': None}",0.7448275862068966,0.7368421052631579,0.7866666666666666,0.7671232876712328,0.7659574468085106,0.760283418523293,0.01768294155105178,7,0.9573770491803278,0.9737704918032787,0.9624796084828712,0.9705882352941176,0.9573770491803278,0.9643184867881847,0.006758679318954287
1.8412515640258789,0.9260074056099664,0.20364594459533691,0.06582144940559953,200,10,1,sqrt,20.0,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': None}",0.7755102040816326,0.7761194029850746,0.8137931034482758,0.7941176470588235,0.7482014388489209,0.7815483592845455,0.02179752512847705,4,0.9837662337662337,0.980327868852459,0.9837133550488599,0.976897689768977,0.9640522875816994,0.9777514870036459,0.007304188211672635
1.7307536602020264,0.4040017375958948,0.6438501358032227,0.5143153083554457,200,2,1,sqrt,5.0,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 5, 'class_weight': None}",0.6455026455026455,0.6404494382022472,0.6464646464646465,0.6363636363636364,0.6387434554973822,0.6415047644061116,0.003892382846836008,15,0.6905710491367862,0.6868421052631579,0.706989247311828,0.704,0.6856368563685636,0.6948078516160672,0.008926284300267373
2.277330446243286,0.2738631480231297,0.6959165573120117,0.1352682142473048,400,5,1,,5.0,balanced,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 5, 'class_weight': 'balanced'}",0.543778801843318,0.49624060150375937,0.4473684210526316,0.45454545454545453,0.40896358543417366,0.4701793728758674,0.04606125299963232,18,0.6244635193133047,0.5525581395348838,0.5204525674499565,0.5294117647058824,0.40587449933244324,0.5265520980672941,0.07052861179219834
2.7901735305786133,0.42660461118436277,0.3231931209564209,0.23178572059412286,400,5,1,sqrt,20.0,,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': None}",0.75,0.6440677966101694,0.7401574803149606,0.6885245901639344,0.7142857142857143,0.7074071162749558,0.038216421620274665,9,0.9983844911147012,1.0,1.0,1.0,1.0,0.9996768982229401,0.0006462035541195288
5.392289447784424,0.37237464732115405,1.0079548835754395,0.6459449673399972,800,2,2,log2,,balanced,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'class_weight': 'balanced'}",0.6785714285714286,0.7307692307692307,0.648936170212766,0.6741573033707865,0.6820809248554913,0.6829030115559406,0.026611452804992757,12,0.9198813056379822,0.9228486646884273,0.9014492753623189,0.9051094890510949,0.9226190476190477,0.9143815564717741,0.009197940549848386
2.578288507461548,0.573002625892696,1.1381103992462158,0.41594389597691794,400,5,1,log2,20.0,balanced,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20, 'class_weight': 'balanced'}",0.6447368421052632,0.6754966887417219,0.6823529411764706,0.6097560975609756,0.6163522012578616,0.6457389541684586,0.02961573317142773,14,0.9309309309309309,0.9395770392749244,0.8988439306358381,0.9037900874635568,0.9064327485380117,0.9159149473686524,0.0162093694534828
2.789871072769165,0.5544336209459073,0.6988158226013184,0.5115053473285694,200,10,2,,,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None, 'class_weight': None}",0.7105263157894737,0.8309859154929577,0.8,0.8053691275167785,0.8421052631578947,0.7977973243914208,0.04635318530984802,2,0.9519230769230769,0.9678456591639871,0.9487179487179487,0.9581993569131833,0.9514563106796117,0.9556284704795616,0.006852172301218314
1.7940190792083741,0.7908320819963384,0.1456235885620117,0.06750955052804718,400,2,2,sqrt,,,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': None}",0.7702702702702703,0.7819548872180451,0.7887323943661971,0.7971014492753623,0.7591240875912408,0.7794366177442231,0.013426989419829057,5,0.9935483870967742,1.0,0.9951845906902087,1.0,0.9919743178170144,0.9961414591207994,0.0033100260359664436
