mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_class_weight,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.01017904281616211,0.0008903646886776142,0.008611822128295898,0.00687831441564107,l1,,0.001,"{'penalty': 'l1', 'class_weight': None, 'C': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012905120849609375,0.0017847880684758427,0.006507301330566406,0.0014089695071003154,l2,,0.005,"{'penalty': 'l2', 'class_weight': None, 'C': 0.005}",0.4521072796934866,0.4715447154471545,0.424,0.4743083003952569,0.46774193548387094,0.45794044620395374,0.018628106208822756,8,0.47580645161290325,0.4636542239685658,0.4750499001996008,0.46353646353646355,0.46199407699901285,0.46800822326330926,0.006091329570284763
0.01564950942993164,0.0015277502639688809,0.004575061798095703,0.000681130083374736,l2,,2.0,"{'penalty': 'l2', 'class_weight': None, 'C': 2.0}",0.4896265560165975,0.5161290322580645,0.44,0.45714285714285713,0.4434782608695652,0.4692753412574168,0.02925464898310694,4,0.5042372881355932,0.5005128205128205,0.5243128964059197,0.508937960042061,0.509926854754441,0.5095855639701672,0.008103689519790498
0.012424802780151368,0.001372392526064454,0.0036935329437255858,0.0003214090931975639,l2,,0.05,"{'penalty': 'l2', 'class_weight': None, 'C': 0.05}",0.4796747967479675,0.5296803652968036,0.43724696356275305,0.47580645161290325,0.4978165938864629,0.48404503422137807,0.030163792647188842,1,0.49306296691568835,0.4850976361767729,0.5121693121693122,0.4957983193277311,0.5015806111696522,0.4975417691518314,0.009035850727338734
0.016906166076660158,0.0044979593843258526,0.004663944244384766,0.0007478696264417678,l2,balanced,0.1,"{'penalty': 'l2', 'class_weight': 'balanced', 'C': 0.1}",0.2982107355864811,0.29389312977099236,0.2920892494929006,0.3048016701461378,0.3002028397565923,0.2978395249506208,0.004535068305664513,17,0.3040877367896311,0.29694323144104806,0.3172126885075403,0.31246819338422394,0.3066867772750126,0.3074797254794912,0.006968033324994824
0.09173898696899414,0.013406654944317137,0.004040956497192383,0.0006667255757416789,l1,balanced,50.0,"{'penalty': 'l1', 'class_weight': 'balanced', 'C': 50.0}",0.31808278867102396,0.32217573221757323,0.3112128146453089,0.32407407407407407,0.3087557603686636,0.31686023399532875,0.005989398768620274,11,0.3357182168409466,0.3281501340482574,0.35294117647058826,0.35206422018348627,0.3520555877243775,0.34418586705353127,0.010290794212352499
0.03265714645385742,0.007520002091995723,0.00435028076171875,0.00038285637006854807,l1,,5.0,"{'penalty': 'l1', 'class_weight': None, 'C': 5.0}",0.4896265560165975,0.509090909090909,0.43824701195219123,0.4489795918367347,0.4329004329004329,0.4637689003593731,0.030151801104607627,6,0.5010570824524313,0.5025641025641026,0.524416135881104,0.5062761506276151,0.5120167189132706,0.5092660380877048,0.00846562493336561
0.03154811859130859,0.0035771419328880587,0.005161190032958984,0.0010450706813089118,l1,balanced,0.5,"{'penalty': 'l1', 'class_weight': 'balanced', 'C': 0.5}",0.30103092783505153,0.3117408906882591,0.3010752688172043,0.31718061674008813,0.2987012987012987,0.3059458005563803,0.00721339066924516,16,0.32142857142857145,0.3125,0.3355335533553355,0.3313416621401412,0.3281165677280086,0.32578407093041134,0.008084759555038122
0.09606056213378907,0.025865812782161924,0.004301548004150391,0.0008666625343579737,l1,,20.0,"{'penalty': 'l1', 'class_weight': None, 'C': 20.0}",0.4918032786885246,0.502283105022831,0.4444444444444444,0.4489795918367347,0.43478260869565216,0.4644586057376374,0.027200202973569128,5,0.5026399155227033,0.5015353121801432,0.5248677248677248,0.5110410094637224,0.5125523012552301,0.5105272526579048,0.008403320673610038
0.013721895217895509,0.001839609961648276,0.007771444320678711,0.005355896219642917,l1,,0.05,"{'penalty': 'l1', 'class_weight': None, 'C': 0.05}",0.466403162055336,0.5021645021645021,0.42105263157894735,0.4899598393574297,0.5,0.4759160270312431,0.030221633397416195,3,0.47461139896373056,0.47706422018348627,0.4890738813735692,0.47767393561786087,0.4793388429752066,0.47955245582277073,0.004996746393587944
