k,silhouette,inertia
2.0,0.142903135819519,27362.547814793255
3.0,0.08091895158713122,25996.357549805005
4.0,0.07903691105442667,24910.95664428239
5.0,0.07917407543257456,23999.11773724375
6.0,0.07446119727222038,23274.54926028403
7.0,0.07162210098450099,22753.866001762886
8.0,0.06499836482017524,22224.30462079188
9.0,0.06555516137039846,21784.56866284743
10.0,0.06452658474935222,21368.811267707304
