mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5708475112915039,0.004687948835732291,0.1056610107421875,0.0053130128447782775,,3.0,200,"{'clf__class_weight': None, 'clf__max_depth': 3, 'clf__n_estimators': 200}",0.29411764705882354,0.30303030303030304,0.27722772277227725,0.22641509433962265,0.2376237623762376,0.2676829059154528,0.03048252592391787,9,0.30392156862745096,0.271356783919598,0.2955665024630542,0.30317848410757947,0.268733850129199,0.2885514378493763,0.015412951960741153
1.6347969055175782,0.0760753202890558,0.29572172164916993,0.05778728087962192,,3.0,400,"{'clf__class_weight': None, 'clf__max_depth': 3, 'clf__n_estimators': 400}",0.29411764705882354,0.3,0.27722772277227725,0.21359223300970873,0.2376237623762376,0.2645122730434094,0.033506363813095984,10,0.30392156862745096,0.28287841191067,0.2955665024630542,0.29683698296836986,0.268733850129199,0.2895874632197488,0.012439096213921268
0.675970458984375,0.10248266059384671,0.1283109188079834,0.029618508683782116,,5.0,200,"{'clf__class_weight': None, 'clf__max_depth': 5, 'clf__n_estimators': 200}",0.27722772277227725,0.2708333333333333,0.23076923076923078,0.21818181818181817,0.22916666666666666,0.2452357543446652,0.023992221402027936,11,0.32,0.3383084577114428,0.35036496350364965,0.3744075829383886,0.2782152230971129,0.3322592454501188,0.03228602731628671
2.0017051219940187,0.11848349761598925,0.21095561981201172,0.018739039438548013,,5.0,400,"{'clf__class_weight': None, 'clf__max_depth': 5, 'clf__n_estimators': 400}",0.26,0.2708333333333333,0.2641509433962264,0.19230769230769232,0.22,0.24145839380745038,0.030324525262242368,12,0.31155778894472363,0.345679012345679,0.34532374100719426,0.3341404358353511,0.29381443298969073,0.3261030822245278,0.020353733039514706
1.061400842666626,0.10765875779139601,0.16926937103271483,0.03725667840622281,,,200,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__n_estimators': 200}",0.34210526315789475,0.37662337662337664,0.3108108108108108,0.31137724550898205,0.3356643356643357,0.33531620635307996,0.024191250728451213,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.932686948776245,0.13126369838775118,0.3159033298492432,0.03045277276647226,,,400,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__n_estimators': 400}",0.34210526315789475,0.37662337662337664,0.3108108108108108,0.31137724550898205,0.3356643356643357,0.33531620635307996,0.024191250728451213,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.803044605255127,0.0761843933819725,0.1452408790588379,0.1060297134209062,balanced,3.0,200,"{'clf__class_weight': 'balanced', 'clf__max_depth': 3, 'clf__n_estimators': 200}",0.4444444444444444,0.47257383966244726,0.43724696356275305,0.5057471264367817,0.48945147679324896,0.469892770179935,0.026033178726289657,4,0.48406374501992033,0.4757185332011893,0.5020576131687243,0.4844844844844845,0.48111332007952284,0.4854875391907682,0.008856273833585882
2.194367504119873,0.045865050525447176,0.22165298461914062,0.049530330682960685,balanced,3.0,400,"{'clf__class_weight': 'balanced', 'clf__max_depth': 3, 'clf__n_estimators': 400}",0.4444444444444444,0.4745762711864407,0.43724696356275305,0.5057471264367817,0.48945147679324896,0.47029325648473375,0.02608669037912217,3,0.4835820895522388,0.4766633565044687,0.5020576131687243,0.4844844844844845,0.47960199004975124,0.4852779067519336,0.008848619877462953
1.1015610694885254,0.023032448831390464,0.1410975933074951,0.03158371409612119,balanced,5.0,200,"{'clf__class_weight': 'balanced', 'clf__max_depth': 5, 'clf__n_estimators': 200}",0.4426877470355731,0.49777777777777776,0.41935483870967744,0.5020242914979757,0.49777777777777776,0.4719244865597564,0.03423781068939059,2,0.5,0.5047120418848168,0.5313807531380753,0.5182795698924731,0.5204616998950682,0.5149668129620867,0.011311510890029726
1.9617487907409668,0.15225962302978732,0.16378512382507324,0.03969264784425888,balanced,5.0,400,"{'clf__class_weight': 'balanced', 'clf__max_depth': 5, 'clf__n_estimators': 400}",0.44787644787644787,0.5067873303167421,0.416,0.5061224489795918,0.49557522123893805,0.4744722896823439,0.036380422254521615,1,0.4949698189134809,0.510593220338983,0.5284974093264249,0.5204301075268817,0.5188284518828452,0.5146638015977232,0.011370012177731837
0.8901992797851562,0.11891580047334259,0.24156293869018555,0.029761635665865926,balanced,,200,"{'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__n_estimators': 200}",0.34210526315789475,0.37662337662337664,0.3108108108108108,0.31137724550898205,0.3356643356643357,0.33531620635307996,0.024191250728451213,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.8788830757141113,0.3388077719947438,0.1067138671875,0.016514163978417012,balanced,,400,"{'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__n_estimators': 400}",0.34210526315789475,0.37662337662337664,0.3108108108108108,0.31137724550898205,0.3356643356643357,0.33531620635307996,0.024191250728451213,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
