model,variant,split,accuracy,precision,recall,f1,roc_auc
logreg_lda,tuned,train,0.7745686421605401,0.36363636363636365,0.7319587628865979,0.48588537211291705,0.8243700388295032
logreg_lda,tuned,test,0.7856071964017991,0.3723404255319149,0.7368421052631579,0.49469964664310956,0.8199852778800147
knn_lda,tuned,train,1.0,1.0,1.0,1.0,1.0
knn_lda,tuned,test,0.8140929535232384,0.32098765432098764,0.2736842105263158,0.29545454545454547,0.6987578211262421
hgb_lda,tuned,train,0.8687171792948237,0.6055555555555555,0.2809278350515464,0.38380281690140844,0.873470918602862
hgb_lda,tuned,test,0.8470764617691154,0.4339622641509434,0.24210526315789474,0.3108108108108108,0.787154950312845
xgb_lda,tuned,train,0.8653413353338335,0.6526315789473685,0.15979381443298968,0.2567287784679089,0.853655652905877
xgb_lda,tuned,test,0.8605697151424287,0.5454545454545454,0.12631578947368421,0.20512820512820512,0.811428045638572
