mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.012267398834228515,0.001638042901759489,0.058444976806640625,0.011341292105387915,5,uniform,"{'clf__n_neighbors': 5, 'clf__weights': 'uniform'}",0.3333333333333333,0.3770491803278688,0.2727272727272727,0.3582089552238806,0.3185840707964602,0.3319805624817631,0.03580881797986056,2,0.49193548387096775,0.5158730158730159,0.5412667946257198,0.5121951219512195,0.48,0.5082540832641846,0.021109282028181013
0.014373397827148438,0.002887819411003629,0.008721685409545899,0.0018145687776271466,5,distance,"{'clf__n_neighbors': 5, 'clf__weights': 'distance'}",0.39436619718309857,0.38848920863309355,0.3188405797101449,0.33783783783783783,0.3458646616541353,0.35707969700366193,0.02944519237453348,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.013023471832275391,0.0023512702934530907,0.05114483833312988,0.0018957894777731064,11,uniform,"{'clf__n_neighbors': 11, 'clf__weights': 'uniform'}",0.26785714285714285,0.35714285714285715,0.3064516129032258,0.30303030303030304,0.3008849557522124,0.3070733743371482,0.028635277045559987,6,0.36486486486486486,0.44398340248962653,0.4085106382978723,0.405982905982906,0.42358078602620086,0.4093845195322941,0.026049763834321487
0.00924854278564453,0.001269729291044775,0.009403181076049805,0.0014714752114587796,11,distance,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}",0.34328358208955223,0.37593984962406013,0.3111111111111111,0.29577464788732394,0.30158730158730157,0.32553929845986984,0.03007617105698442,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011560630798339844,0.0018919003335487483,0.053792476654052734,0.0055548565912425674,21,uniform,"{'clf__n_neighbors': 21, 'clf__weights': 'uniform'}",0.25,0.3238095238095238,0.3,0.2782608695652174,0.3130434782608696,0.29302277432712215,0.026329478349512443,8,0.350561797752809,0.3577981651376147,0.3705357142857143,0.3516483516483517,0.3684210526315789,0.35979301629121374,0.008311184756281129
0.007766056060791016,0.0011865972815703974,0.008263015747070312,0.0012607066199060316,21,distance,"{'clf__n_neighbors': 21, 'clf__weights': 'distance'}",0.296875,0.38461538461538464,0.3181818181818182,0.2753623188405797,0.32786885245901637,0.32058067481935976,0.03678579845864622,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011383533477783203,0.002707358611461751,0.05502300262451172,0.004366686906606967,31,uniform,"{'clf__n_neighbors': 31, 'clf__weights': 'uniform'}",0.28846153846153844,0.36893203883495146,0.24778761061946902,0.27586206896551724,0.3063063063063063,0.29746991263755646,0.04050011896522878,7,0.3076923076923077,0.37303370786516854,0.3665158371040724,0.3407079646017699,0.35046728971962615,0.3476834213965889,0.023034725963482466
0.01118001937866211,0.0018825871033095445,0.011047601699829102,0.0019507739803932762,31,distance,"{'clf__n_neighbors': 31, 'clf__weights': 'distance'}",0.272,0.37209302325581395,0.3230769230769231,0.2647058823529412,0.32786885245901637,0.3119489362289389,0.03955353504735617,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
