threshold,precision,recall,f1
0.0,0.145536384096024,1.0,0.2540929927963327
0.005,0.2777777777777778,0.8891752577319587,0.4233128834355828
0.01,0.35429769392033544,0.8711340206185567,0.503725782414307
0.015,0.41967621419676215,0.8685567010309279,0.5659109991603695
0.02,0.45566166439290584,0.8608247422680413,0.5958965209634255
0.025,0.4940828402366864,0.8608247422680413,0.6278195488721805
0.03,0.5211267605633803,0.8582474226804123,0.6484907497565725
0.035,0.5478547854785478,0.8556701030927835,0.6680080482897385
0.04,0.5610169491525424,0.8530927835051546,0.6768916155419223
0.045,0.5759162303664922,0.8505154639175257,0.6867845993756504
0.05,0.5892857142857143,0.8505154639175257,0.6962025316455697
0.055,0.603290676416819,0.8505154639175257,0.7058823529411765
0.06,0.6149532710280374,0.8479381443298969,0.7128927410617552
0.065,0.6314779270633397,0.8479381443298969,0.7238723872387238
0.07,0.6413255360623782,0.8479381443298969,0.730299667036626
0.075,0.6527777777777778,0.8479381443298969,0.7376681614349776
0.08,0.6606425702811245,0.8479381443298969,0.7426636568848759
0.085,0.6673427991886409,0.8479381443298969,0.7468785471055619
0.09,0.6707566462167689,0.845360824742268,0.7480045610034207
0.095,0.6762886597938145,0.845360824742268,0.7514318442153494
0.1,0.6861924686192469,0.845360824742268,0.7575057736720554
0.105,0.6919831223628692,0.845360824742268,0.7610208816705336
0.11,0.697228144989339,0.8427835051546392,0.7631271878646441
0.115,0.7047413793103449,0.8427835051546392,0.7676056338028169
0.12,0.7108695652173913,0.8427835051546392,0.7712264150943396
0.125,0.7155361050328227,0.8427835051546392,0.7739644970414201
0.13,0.7244444444444444,0.8402061855670103,0.7780429594272077
0.135,0.7276785714285714,0.8402061855670103,0.7799043062200957
0.14,0.7342342342342343,0.8402061855670103,0.7836538461538461
0.145,0.7336343115124153,0.8376288659793815,0.7821901323706378
0.15,0.7386363636363636,0.8376288659793815,0.785024154589372
0.155,0.7420091324200914,0.8376288659793815,0.7869249394673123
0.16,0.7505773672055427,0.8376288659793815,0.7917174177831913
0.165,0.7517401392111369,0.8350515463917526,0.7912087912087912
0.17,0.7552447552447552,0.8350515463917526,0.7931456548347613
0.17500000000000002,0.7582159624413145,0.8324742268041238,0.7936117936117936
0.18,0.76,0.8324742268041238,0.7945879458794588
0.185,0.7635933806146572,0.8324742268041238,0.7965474722564735
0.19,0.7672209026128266,0.8324742268041238,0.7985166872682324
0.195,0.7690476190476191,0.8324742268041238,0.7995049504950495
0.2,0.7703349282296651,0.8298969072164949,0.7990074441687345
0.20500000000000002,0.7740384615384616,0.8298969072164949,0.8009950248756219
0.21,0.7740384615384616,0.8298969072164949,0.8009950248756219
0.215,0.7759036144578313,0.8298969072164949,0.8019925280199253
0.22,0.7796610169491526,0.8298969072164949,0.8039950062421972
0.225,0.781021897810219,0.8273195876288659,0.8035043804755945
0.23,0.7843137254901961,0.8247422680412371,0.8040201005025126
0.23500000000000001,0.7857142857142857,0.8221649484536082,0.8035264483627204
0.24,0.7876543209876543,0.8221649484536082,0.8045397225725095
0.245,0.7955112219451371,0.8221649484536082,0.8086185044359949
0.25,0.7994987468671679,0.8221649484536082,0.8106734434561627
0.255,0.8035264483627204,0.8221649484536082,0.8127388535031848
