mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_max_iter,param_max_depth,param_learning_rate,param_l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
7.674298048019409,0.745049641768379,0.08333344459533691,0.047192878950625745,20,200,,0.2,1.0,"{'min_samples_leaf': 20, 'max_iter': 200, 'max_depth': None, 'learning_rate': 0.2, 'l2_regularization': 1.0}",0.8026315789473685,0.8472222222222222,0.8266666666666667,0.8591549295774648,0.8571428571428571,0.8385636509113159,0.021339215300413064,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.7490910053253175,0.6378162029745865,0.05839080810546875,0.009875763666617646,10,400,3.0,0.1,0.0,"{'min_samples_leaf': 10, 'max_iter': 400, 'max_depth': 3, 'learning_rate': 0.1, 'l2_regularization': 0.0}",0.759493670886076,0.8322147651006712,0.8289473684210527,0.7702702702702703,0.7973856209150327,0.7976623391186205,0.029596866195940864,22,0.987220447284345,0.9920255183413078,0.9952,0.9887640449438202,0.9746031746031746,0.9875626370345296,0.007039243765122335
1.894075345993042,0.8160637238828964,0.03993401527404785,0.012291122299927588,10,200,3.0,0.05,0.1,"{'min_samples_leaf': 10, 'max_iter': 200, 'max_depth': 3, 'learning_rate': 0.05, 'l2_regularization': 0.1}",0.6820809248554913,0.8,0.783625730994152,0.6961325966850829,0.7640449438202247,0.7451768392709901,0.04738424578505475,29,0.7964601769911505,0.8132530120481928,0.8242424242424242,0.7895500725689405,0.8163884673748103,0.8079788306451036,0.012925493896378636
22.6670560836792,2.012582677640878,0.10204224586486817,0.020110153508228364,10,400,,0.03,0.0,"{'min_samples_leaf': 10, 'max_iter': 400, 'max_depth': None, 'learning_rate': 0.03, 'l2_regularization': 0.0}",0.8026315789473685,0.8591549295774648,0.8187919463087249,0.8368794326241135,0.8513513513513513,0.8337618477618045,0.020770701297602626,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14.972549104690552,1.8475197523708093,0.07685995101928711,0.016019215811804217,50,400,,0.1,1.0,"{'min_samples_leaf': 50, 'max_iter': 400, 'max_depth': None, 'learning_rate': 0.1, 'l2_regularization': 1.0}",0.7770700636942676,0.7801418439716312,0.8104575163398693,0.8157894736842105,0.863013698630137,0.8092945192640231,0.031040558114693233,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10.376944589614869,1.4057359906682667,0.18541083335876465,0.18690039278993179,50,400,7.0,0.2,0.1,"{'min_samples_leaf': 50, 'max_iter': 400, 'max_depth': 7, 'learning_rate': 0.2, 'l2_regularization': 0.1}",0.7792207792207793,0.8142857142857143,0.8026315789473685,0.7972972972972973,0.8551724137931035,0.8097215567088526,0.025383220355346348,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6.458180904388428,1.9462561734774568,0.03801579475402832,0.006131796205805249,10,200,7.0,0.2,1.0,"{'min_samples_leaf': 10, 'max_iter': 200, 'max_depth': 7, 'learning_rate': 0.2, 'l2_regularization': 1.0}",0.8026315789473685,0.8611111111111112,0.8163265306122449,0.8591549295774648,0.875,0.842844830049638,0.028121013830324237,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.1170895099639893,0.7164033929560808,0.04086847305297851,0.00860949973002939,20,200,5.0,0.03,0.1,"{'min_samples_leaf': 20, 'max_iter': 200, 'max_depth': 5, 'learning_rate': 0.03, 'l2_regularization': 0.1}",0.7439024390243902,0.847682119205298,0.7878787878787878,0.8152866242038217,0.7764705882352941,0.7942441117095184,0.035182687418920555,23,0.875,0.8796147672552167,0.8757961783439491,0.8764044943820225,0.8712241653418124,0.8756079210646002,0.002694871741154849
12.718136930465699,2.8331990851292,0.14623923301696778,0.03431733741941312,10,800,5.0,0.05,0.1,"{'min_samples_leaf': 10, 'max_iter': 800, 'max_depth': 5, 'learning_rate': 0.05, 'l2_regularization': 0.1}",0.7712418300653595,0.8450704225352113,0.8163265306122449,0.8275862068965517,0.8391608391608392,0.8198771658540412,0.026244970756698703,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.3998045444488527,0.5217360884309256,0.06323609352111817,0.018656479690086273,20,400,3.0,0.03,0.1,"{'min_samples_leaf': 20, 'max_iter': 400, 'max_depth': 3, 'learning_rate': 0.03, 'l2_regularization': 0.1}",0.7261904761904762,0.8050314465408805,0.7928994082840237,0.7023809523809523,0.7351351351351352,0.7523274837062937,0.039742080381172676,27,0.8235294117647058,0.8126888217522659,0.8333333333333334,0.8095238095238095,0.8131539611360239,0.8184458675020277,0.008811697094964063
