mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3528146743774414,0.0352624943185227,0.014110183715820313,0.0022419572730651306,0.8,100,6,0.1,0.2,0.8,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.7662337662337663,0.8551724137931035,0.8152866242038217,0.847682119205298,0.8181818181818182,0.8205113483235615,0.031363738999407705,15,0.9904153354632588,0.9967948717948718,0.9967948717948718,0.9951845906902087,0.985691573926868,0.9929762487340158,0.004328170564650094
0.19621124267578124,0.04843500957194872,0.015979909896850587,0.0028404928905488413,0.8,100,3,0.01,0.2,0.8,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.59375,0.6844919786096256,0.5963302752293578,0.5855855855855856,0.67,0.6260315678849138,0.042216078783889444,30,0.6582914572864321,0.6431181485992692,0.6409638554216868,0.644927536231884,0.6240786240786241,0.6422759243235793,0.010927954470397551
0.6860530376434326,0.13283463662333161,0.021602296829223634,0.011692305600722448,1.0,400,6,0.1,0.2,0.8,"{'subsample': 1.0, 'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.7770700636942676,0.8450704225352113,0.8421052631578947,0.8435374149659864,0.8344370860927153,0.8284440500892151,0.025946397149398993,10,1.0,1.0,0.9983948635634029,1.0,1.0,0.9996789727126807,0.0006420545746388395
0.6996227264404297,0.06699528576617825,0.017717599868774414,0.006963657870439074,1.0,200,6,0.01,0.0,0.8,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.8}",0.7080745341614907,0.8266666666666667,0.7852760736196319,0.8157894736842105,0.7878787878787878,0.7847371072021575,0.041496139985575026,21,0.8813008130081301,0.8874388254486134,0.8821656050955414,0.8918032786885246,0.8705501618122977,0.8826517368106215,0.007143897717291383
0.19603204727172852,0.023881104093323502,0.01162567138671875,0.005294915391776173,0.8,100,3,0.1,0.0,1.0,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 1.0}",0.6936416184971098,0.8129032258064516,0.6701030927835051,0.7455621301775148,0.7351351351351352,0.7314690404799433,0.04907193771920172,24,0.8267477203647416,0.8432267884322678,0.7885714285714286,0.8238805970149253,0.8228228228228228,0.8210498714412372,0.017834162412093058
0.1769235610961914,0.011976039986417537,0.010676956176757813,0.0032168885761502818,0.8,100,3,0.1,0.2,0.8,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.6742857142857143,0.7975460122699386,0.6907216494845361,0.7231638418079096,0.7362637362637363,0.7243961908223671,0.04275111294399647,25,0.8070692194403535,0.8315629742033384,0.7908309455587392,0.8,0.8118518518518518,0.8082629982108566,0.013633396191400188
0.33083510398864746,0.07172087923868747,0.00980234146118164,0.0019003433089130935,1.0,200,3,0.01,0.1,1.0,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.6122448979591837,0.6844919786096256,0.6220095693779905,0.6132075471698113,0.6865671641791045,0.643704231459143,0.03432569620178993,27,0.6709021601016518,0.6471306471306472,0.6641414141414141,0.6633416458852868,0.645320197044335,0.6581672128606669,0.01011430984099219
1.1312211513519288,0.18028907739223243,0.026847982406616212,0.007870879459487752,0.8,400,10,0.1,0.0,1.0,"{'subsample': 0.8, 'n_estimators': 400, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 1.0}",0.8,0.8450704225352113,0.8356164383561644,0.8689655172413793,0.847682119205298,0.8394668994676107,0.02254559806715165,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5588086128234864,0.0820589586414101,0.01595001220703125,0.003231907488867823,0.8,200,10,0.2,0.1,1.0,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.7741935483870968,0.8309859154929577,0.8157894736842105,0.8571428571428571,0.8311688311688312,0.8218561251751908,0.027290139257696265,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.21898374557495118,0.054965579837108744,0.020310735702514647,0.012950436466979146,0.8,100,3,0.2,0.2,0.8,"{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.6904761904761905,0.8152866242038217,0.7182320441988951,0.7710843373493976,0.7415730337078652,0.7473304459872341,0.043115103305350795,23,0.8956127080181543,0.9176829268292683,0.8785607196401799,0.8966565349544073,0.8922155688622755,0.896145691660857,0.012562441142654835
