eps,min_samples,n_clusters,noise_ratio,silhouette
2.364411748799843,3.0,2.0,0.046136534133533386,0.2134097906492054
2.498298951339054,3.0,2.0,0.03113278319579895,0.20874488793306933
2.5527438174467645,3.0,2.0,0.025506376594148537,0.2070853312666594
2.5853706337383393,3.0,2.0,0.02250562640660165,0.20608188644736172
1.8688730100364106,10.0,2.0,0.35408852213053266,0.1722519330266385
2.1235541086381957,3.0,2.0,0.09377344336084022,0.13173860921870767
1.9075525742024886,3.0,4.0,0.19092273068267065,0.04495345564556824
2.0097499864798665,3.0,5.0,0.1312828207051763,0.03241713987036143
1.8786598674496413,5.0,4.0,0.2576894223555889,-0.0014952399063705734
1.7943576620369743,5.0,6.0,0.33758439609902474,-0.01491831116078801
1.8467784712243625,3.0,5.0,0.22730682670667668,-0.024940114160356856
1.7061524858901382,5.0,7.0,0.4317329332333083,-0.02657215433527411
1.7488092659373375,3.0,14.0,0.3150787696924231,-0.0848807825467239
1.65508822415989,3.0,22.0,0.4088522130532633,-0.12245271909552793
1.570925649343226,3.0,33.0,0.49287321830457614,-0.16601519002225354
2.1291287571962796,3.0,1.0,0.09227306826706677,
2.2425167150581546,3.0,1.0,0.06639159789947487,
2.2441794990617514,3.0,1.0,0.06564141035258815,
2.281725455785862,3.0,1.0,0.05738934733683421,
2.6382549588919466,3.0,1.0,0.019504876219054765,
2.6930153988741017,3.0,1.0,0.01687921980495124,
2.770666624882833,3.0,1.0,0.01387846961740435,
2.8372940985598114,3.0,1.0,0.012003000750187547,
2.9979587416068645,3.0,1.0,0.006751687921980495,
3.0416125102803995,3.0,1.0,0.004876219054763691,
3.0997603497567856,3.0,1.0,0.0037509377344336083,
3.1659059506703358,3.0,1.0,0.0037509377344336083,
3.2596077939798036,3.0,1.0,0.0033758439609902473,
3.3662692485926273,3.0,1.0,0.0018754688672168042,
3.5466176231997646,3.0,1.0,0.0011252813203300824,
3.6467768820668067,3.0,1.0,0.0011252813203300824,
3.649935012336479,3.0,1.0,0.0011252813203300824,
3.747448427008581,3.0,1.0,0.00037509377344336085,
3.911529352775764,3.0,1.0,0.00037509377344336085,
3.9573824383379197,3.0,1.0,0.00037509377344336085,
4.376132258480168,3.0,1.0,0.00037509377344336085,
4.488358998123503,3.0,1.0,0.00037509377344336085,
4.562418765420599,3.0,1.0,0.00037509377344336085,
4.728823497599686,3.0,1.0,0.0,
4.889411690969705,3.0,1.0,0.0,
4.996597902678108,3.0,1.0,0.0,
5.276509917783893,3.0,1.0,0.0,
5.47016532310021,3.0,1.0,0.0,
6.083225020560799,3.0,1.0,0.0,
6.519215587959607,3.0,1.0,0.0,
7.2935537641336134,3.0,1.0,0.0,
2.006169423714131,5.0,1.0,0.16204051012753187,
2.071756590009454,5.0,1.0,0.13240810202550637,
2.178862875330612,5.0,1.0,0.0900225056264066,
2.2675585905748994,5.0,1.0,0.06751687921980495,
2.281229839045993,5.0,1.0,0.06489122280570142,
2.4221445385030176,5.0,1.0,0.04463615903975994,
2.4360628716528736,5.0,1.0,0.04351087771942986,
2.437360694128769,5.0,1.0,0.04351087771942986,
2.5633680886242494,5.0,1.0,0.02738184546136534,
2.683799810642345,5.0,1.0,0.019129782445611403,
2.7534640028409494,5.0,1.0,0.016129032258064516,
2.788536839605875,5.0,1.0,0.01350337584396099,
2.865956319591616,5.0,1.0,0.010877719429857465,
2.924832832954523,5.0,1.0,0.00900225056264066,
2.9411755110393782,5.0,1.0,0.0086271567891973,
3.0760417063490992,5.0,1.0,0.00450112528132033,
3.2205597727708137,5.0,1.0,0.0033758439609902473,
3.2393694151069994,5.0,1.0,0.0033758439609902473,
3.386080448092849,5.0,1.0,0.0018754688672168042,
3.439147583509939,5.0,1.0,0.0018754688672168042,
3.4602064835757393,5.0,1.0,0.0018754688672168042,
3.656041041193154,5.0,1.0,0.0011252813203300824,
3.845052132936374,5.0,1.0,0.0007501875468867217,
3.887243298128399,5.0,1.0,0.0007501875468867217,
3.983624056579822,5.0,1.0,0.00037509377344336085,
4.025699715963517,5.0,1.0,0.00037509377344336085,
4.152247780290887,5.0,1.0,0.00037509377344336085,
4.298934479387424,5.0,1.0,0.00037509377344336085,
4.780348867895786,5.0,1.0,0.0,
4.859054122660499,5.0,1.0,0.0,
4.874721388257538,5.0,1.0,0.0,
5.126736177248499,5.0,1.0,0.0,
5.190309725363609,5.0,1.0,0.0,
5.36759962128469,5.0,1.0,0.0,
5.731912639183232,5.0,1.0,0.0,
5.975436084869733,5.0,1.0,0.0,
6.478738830213999,5.0,1.0,0.0,
6.920412967151479,5.0,1.0,0.0,
7.967248113159644,5.0,1.0,0.0,
1.9673079288778599,10.0,1.0,0.2558139534883721,
2.0364402230368737,10.0,1.0,0.20517629407351837,
2.1740977010394005,10.0,1.0,0.11852963240810202,
2.269345797901356,10.0,1.0,0.08064516129032258,
2.388873913637401,10.0,1.0,0.05438859714928732,
2.472820270830489,10.0,1.0,0.04276069017254314,
2.4821671586629943,10.0,1.0,0.04126031507876969,
2.5753264998802474,10.0,1.0,0.03113278319579895,
